srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR5832602,lane6-s041-indexRPI15-ATGTCA-MP2_S41_L006_R1_001.fastq.gz,SRX3009921,TRUE,72835773,72835773,202,MGP-MP2-RNA,RNA-seq of Zea mays: mature pollen,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-MP2,,MGP-MP2-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832603,lane3-s022-indexRPI2-CGATGT-MP1_S22_L003_R1_001.fastq.gz,SRX3009920,TRUE,53538261,53538261,202,MGP-MP1-RNA,RNA-seq of Zea mays: mature pollen,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-MP1,,MGP-MP1-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832604,lane7-s049-indexRPI1-ATCACG-MP4_S49_L007_R1_001.fastq.gz,SRX3009919,TRUE,127011803,127011803,202,MGP-MP4-RNA,RNA-seq of Zea mays: mature pollen,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-MP4,,MGP-MP4-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832605,lane6-s042-indexRPI16-CCGTCC-MP3_S42_L006_R1_001.fastq.gz,SRX3009918,TRUE,98122104,98122104,202,MGP-MP3-RNA,RNA-seq of Zea mays: mature pollen,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-MP3,,MGP-MP3-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832606,lane3-s026-indexRPI6-GCCAAT-SC2_S26_L003_R2_001.fastq.gz,SRX3009917,TRUE,58403475,58403475,202,MGP-SC2-RNA,RNA-seq of Zea mays: sperm cell,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-SC2,,MGP-SC2-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832607,lane3-s021-indexRPI1-ATCACG-SC1_S21_L003_R2_001.fastq.gz,SRX3009916,TRUE,44848396,44848396,202,MGP-SC1-RNA,RNA-seq of Zea mays: sperm cell,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-SC1,,MGP-SC1-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832608,lane7-s030-indexRPI18-GTCCGC-SC4_S30_L007_R1_001.fastq.gz,SRX3009915,TRUE,94514773,94514773,202,MGP-SC4-RNA,RNA-seq of Zea mays: sperm cell,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-SC4,,MGP-SC4-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832609,lane7-s029-indexRPI17-GTAGAG-SC3_S29_L007_R1_001.fastq.gz,SRX3009914,TRUE,104595044,104595044,202,MGP-SC3-RNA,RNA-seq of Zea mays: sperm cell,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-SC3,,MGP-SC3-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832610,lane6-s043-indexRPI20-GTGGCC-MS2_S43_L006_R2_001.fastq.gz,SRX3009913,TRUE,88773201,88773201,202,MGP-MS2-RNA,RNA-seq of Zea mays: microspore,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-MS2,,MGP-MS2-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832611,lane3-s025-indexRPI5-ACAGTG-MS1_S25_L003_R2_001.fastq.gz,SRX3009912,TRUE,51055002,51055002,202,MGP-MS1-RNA,RNA-seq of Zea mays: microspore,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-MS1,,MGP-MS1-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832617,lane3-s024-indexRPI4-TGACCA-YT2_S24_L003_R1_001.fastq.gz,SRX3009906,TRUE,48109464,48109464,202,MGP-YT2-RNA,RNA-seq of Zea mays: tassel primordia,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-TP2,,MGP-YT2-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832618,lane3-s023-indexRPI3-TTAGGC-YT1_S23_L003_R2_001.fastq.gz,SRX3009905,TRUE,45895216,45895216,202,MGP-YT1-RNA,RNA-seq of Zea mays: tassel primordia,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-TP1,,MGP-YT1-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832619,lane6-s044-indexRPI26-ATGAGC-MS4_S44_L006_R1_001.fastq.gz,SRX3009904,TRUE,69939760,69939760,202,MGP-MS4-RNA,RNA-seq of Zea mays: microspore,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-MS4,,MGP-MS4-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832620,lane7-s048-indexRPI25-ACTGAT-MS3_S48_L007_R1_001.fastq.gz,SRX3009903,TRUE,95051438,95051438,202,MGP-MS3-RNA,RNA-seq of Zea mays: microspore,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-MS3,,MGP-MS3-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832622,lane7-s031-indexRPI19-GTGAAA-MSB3_S31_L007_R1_001.fastq.gz,SRX3009901,TRUE,104497307,104497307,202,MGP-MSB3-RNA,RNA-seq of Zea mays: bicellular male gametophyte,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-MSB3,,MGP-MSB3-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832623,lane6-s040-indexRPI14-AGTTCC-YT4_S40_L006_R1_001.fastq.gz,SRX3009900,TRUE,86402559,86402559,202,MGP-YT4-RNA,RNA-seq of Zea mays: tassel primordia,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-TP4,,MGP-YT4-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
SRR5832624,lane6-s024-indexRPI13-AGTCAA-YT3_S24_L006_R2_001.fastq.gz,SRX3009899,TRUE,100158405,100158405,202,MGP-YT3-RNA,RNA-seq of Zea mays: tassel primordia,RNA was polyA-selected using a biotinylated polyT oligo/streptavidin magnetic bead system; library prep with Wafergen PrepX Robotic Stranded RNA Library protocol,Whole genome sequencing of B73 maize gametophyte tissues,MGP-TP3,,MGP-YT3-RNA,RANDOM,TRANSCRIPTOMIC,RNA-Seq
