srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
ERR990516,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep3_C1V8EACXX_102143-12_ACTTGA_L003_R,ERX1071699,TRUE,14737117,14737117,202,E-MTAB-3847:GJ_48hpi_Rep3,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516013,,GJ_48hpi_Rep3,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
ERR990517,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep3_C1V8EACXX_102143-12_ACTTGA_L004_R,ERX1071699,TRUE,13988995,13988995,202,E-MTAB-3847:GJ_48hpi_Rep3,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516013,,GJ_48hpi_Rep3,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
ERR990518,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep3_C1V8EACXX_102143-12_ACTTGA_L005_R,ERX1071699,TRUE,15129528,15129528,202,E-MTAB-3847:GJ_48hpi_Rep3,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516013,,GJ_48hpi_Rep3,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
ERR990519,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep3_D222CACXX_102143-12_ACTTGA_L007_R,ERX1071699,TRUE,18334907,18334907,202,E-MTAB-3847:GJ_48hpi_Rep3,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516013,,GJ_48hpi_Rep3,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
ERR990520,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep3_D222CACXX_102143-12_ACTTGA_L008_R,ERX1071699,TRUE,18445191,18445191,202,E-MTAB-3847:GJ_48hpi_Rep3,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516013,,GJ_48hpi_Rep3,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
ERR990511,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep2_C1V8EACXX_102143-11_CAGATC_L003_R,ERX1071698,TRUE,12953331,12953331,202,E-MTAB-3847:GJ_48hpi_Rep2,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516012,,GJ_48hpi_Rep2,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
ERR990512,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep2_C1V8EACXX_102143-11_CAGATC_L004_R,ERX1071698,TRUE,12289351,12289351,202,E-MTAB-3847:GJ_48hpi_Rep2,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516012,,GJ_48hpi_Rep2,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
ERR990513,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep2_C1V8EACXX_102143-11_CAGATC_L005_R,ERX1071698,TRUE,13246904,13246904,202,E-MTAB-3847:GJ_48hpi_Rep2,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516012,,GJ_48hpi_Rep2,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
ERR990514,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep2_D222CACXX_102143-11_CAGATC_L007_R,ERX1071698,TRUE,16181286,16181286,202,E-MTAB-3847:GJ_48hpi_Rep2,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516012,,GJ_48hpi_Rep2,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
ERR990515,E-MTAB-3847:LabHorbach_GJ_48hpi_Rep2_D222CACXX_102143-11_CAGATC_L008_R,ERX1071698,TRUE,16267051,16267051,202,E-MTAB-3847:GJ_48hpi_Rep2,Illumina HiSeq 2000 paired end sequencing; High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance,SAMEA3516012,,GJ_48hpi_Rep2,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
