srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR1567904,GSM1496060_r1,SRX694829,TRUE,55398806,55398806,100,GSM1496060,"GSM1496060: nkd  starchy endopserm, biorep 3 (NS3); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496060,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567903,GSM1496059_r1,SRX694828,TRUE,42149448,42149448,100,GSM1496059,"GSM1496059: nkd  starchy endopserm, biorep 2 (NS2); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496059,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567902,GSM1496058_r1,SRX694827,TRUE,30376797,30376797,100,GSM1496058,"GSM1496058: nkd  starchy endopserm, biorep 1 (NS1); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496058,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567901,GSM1496057_r1,SRX694826,TRUE,27952849,27952849,100,GSM1496057,"GSM1496057: B73 starchy endopserm, biorep 3 (BS3); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496057,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567900,GSM1496056_r1,SRX694825,TRUE,66113263,66113263,100,GSM1496056,"GSM1496056: B73 starchy endopserm, biorep 2 (BS2); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496056,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567899,GSM1496055_r1,SRX694824,TRUE,52031092,52031092,100,GSM1496055,"GSM1496055: B73 starchy endopserm, biorep 1 (BS1); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496055,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567898,GSM1496054_r1,SRX694823,TRUE,53389819,53389819,100,GSM1496054,"GSM1496054: nkd Aleurone, biorep 3 (NA3); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496054,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567897,GSM1496053_r1,SRX694822,TRUE,62078569,62078569,100,GSM1496053,"GSM1496053: nkd Aleurone, biorep 2 (NA2); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496053,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567896,GSM1496052_r1,SRX694821,TRUE,39467467,39467467,100,GSM1496052,"GSM1496052: nkd Aleurone, biorep 1 (NA1); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496052,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567895,GSM1496051_r1,SRX694820,TRUE,69339471,69339471,100,GSM1496051,"GSM1496051: B73 Aleurone, biorep 3 (BA3); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496051,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567894,GSM1496050_r1,SRX694819,TRUE,13513122,13513122,100,GSM1496050,"GSM1496050: B73 Aleurone, biorep 2 (BA2); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496050,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1567893,GSM1496049_r1,SRX694818,TRUE,57477603,57477603,100,GSM1496049,"GSM1496049: B73 Aleurone, biorep 1 (BA1); Zea mays; RNA-Seq",,Zea mays Transcriptome or Gene expression,GSM1496049,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
