srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR8742459,GSM3674751_r1,SRX5534586,TRUE,13960646,13960646,72,GSM3674751,GSM3674751: ATAC_Barley_7days_leaf_Input; Hordeum vulgare; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674751,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742458,GSM3674750_r1,SRX5534585,TRUE,34517278,34517278,72,GSM3674750,GSM3674750: ATAC_Barley_7days_leaf_rep2; Hordeum vulgare; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674750,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742457,GSM3674749_r1,SRX5534584,TRUE,40246299,40246299,72,GSM3674749,GSM3674749: ATAC_Barley_7days_leaf_rep1; Hordeum vulgare; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674749,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742456,GSM3674748_r1,SRX5534583,TRUE,113684140,113684140,71,GSM3674748,GSM3674748: ATAC_Maize_7days_leaf_Input2; Zea mays; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674748,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742455,GSM3674747_r1,SRX5534582,TRUE,112555834,112555834,71,GSM3674747,GSM3674747: ATAC_Maize_7days_leaf_Input1; Zea mays; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674747,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742454,GSM3674746_r1,SRX5534581,TRUE,571321741,571321741,72,GSM3674746,GSM3674746: ATAC_Maize_7days_leaf_rep2; Zea mays; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674746,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742453,GSM3674745_r1,SRX5534580,TRUE,95964379,95964379,72,GSM3674745,GSM3674745: ATAC_Maize_7days_leaf_rep1; Zea mays; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674745,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742452,GSM3674744_r1,SRX5534579,TRUE,21594827,21594827,72,GSM3674744,GSM3674744: ATAC_Sorghum_7days_leaf_Input; Sorghum bicolor; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674744,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742451,GSM3674743_r1,SRX5534578,TRUE,75768140,75768140,72,GSM3674743,GSM3674743: ATAC_Sorghum_7days_leaf_rep2; Sorghum bicolor; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674743,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742450,GSM3674742_r1,SRX5534577,TRUE,55283918,55283918,72,GSM3674742,GSM3674742: ATAC_Sorghum_7days_leaf_rep1; Sorghum bicolor; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674742,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742449,GSM3674741_r1,SRX5534576,TRUE,17888765,17888765,72,GSM3674741,GSM3674741: ATAC_Rice_7days_leaf_Input; Oryza sativa; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674741,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742448,GSM3674740_r1,SRX5534575,TRUE,107130592,107130592,72,GSM3674740,GSM3674740: ATAC_Rice_7days_leaf_rep2; Oryza sativa; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674740,,,other,TRANSCRIPTOMIC,ATAC-seq
SRR8742447,GSM3674739_r1,SRX5534574,TRUE,56090785,56090785,72,GSM3674739,GSM3674739: ATAC_Rice_7days_leaf_rep1; Oryza sativa; ATAC-seq,,"The prevalence, evolution and chromatin signatures of plant regulatory elements",GSM3674739,,,other,TRANSCRIPTOMIC,ATAC-seq
