srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
ERR3791882,E-MTAB-8633:Tzi8_V18_tassel_MN27062_R,ERX3793986,TRUE,18837766,18837766,151,E-MTAB-8633:MN27062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448446,,MN27062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791881,E-MTAB-8633:Tzi8_V18_tassel_MN27061_R,ERX3793985,TRUE,16393849,16393849,151,E-MTAB-8633:MN27061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448445,,MN27061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791880,E-MTAB-8633:Tx303_V18_tassel_MN26062_R,ERX3793984,TRUE,19933484,19933484,151,E-MTAB-8633:MN26062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448444,,MN26062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791879,E-MTAB-8633:Tx303_V18_tassel_MN26061_R,ERX3793983,TRUE,19755815,19755815,151,E-MTAB-8633:MN26061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448443,,MN26061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791878,E-MTAB-8633:P39_V18_tassel_MN25062_R,ERX3793982,TRUE,23385094,23385094,151,E-MTAB-8633:MN25062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448442,,MN25062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791877,E-MTAB-8633:P39_V18_tassel_MN25061_R,ERX3793981,TRUE,23172914,23172914,151,E-MTAB-8633:MN25061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448441,,MN25061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791876,E-MTAB-8633:Oh7b_V18_tassel_MN24062_R,ERX3793980,TRUE,28563190,28563190,151,E-MTAB-8633:MN24062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448440,,MN24062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791875,E-MTAB-8633:Oh7b_V18_tassel_MN24061_R,ERX3793979,TRUE,33054280,33054280,151,E-MTAB-8633:MN24061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448439,,MN24061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791874,E-MTAB-8633:Oh43_V18_tassel_MN23062_R,ERX3793978,TRUE,20540061,20540061,151,E-MTAB-8633:MN23062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448438,,MN23062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791873,E-MTAB-8633:Oh43_V18_tassel_MN23061_R,ERX3793977,TRUE,23644346,23644346,151,E-MTAB-8633:MN23061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448437,,MN23061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791872,E-MTAB-8633:NC358_V18_tassel_MN22062_R,ERX3793976,TRUE,27868407,27868407,151,E-MTAB-8633:MN22062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448436,,MN22062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791871,E-MTAB-8633:NC358_V18_tassel_MN22061_R,ERX3793975,TRUE,24269086,24269086,151,E-MTAB-8633:MN22061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448435,,MN22061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791870,E-MTAB-8633:NC350_V18_tassel_MN21062_R,ERX3793974,TRUE,22997272,22997272,151,E-MTAB-8633:MN21062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448434,,MN21062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791869,E-MTAB-8633:NC350_V18_tassel_MN21061_R,ERX3793973,TRUE,20143901,20143901,151,E-MTAB-8633:MN21061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448433,,MN21061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791868,E-MTAB-8633:Ms71_V18_tassel_MN20062_R,ERX3793972,TRUE,21431362,21431362,151,E-MTAB-8633:MN20062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448432,,MN20062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791867,E-MTAB-8633:Ms71_V18_tassel_MN20061_R,ERX3793971,TRUE,20473934,20473934,151,E-MTAB-8633:MN20061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448431,,MN20061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791866,E-MTAB-8633:Mo18w_V18_tassel_MN19062_R,ERX3793970,TRUE,28988148,28988148,151,E-MTAB-8633:MN19062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448430,,MN19062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791865,E-MTAB-8633:Mo18w_V18_tassel_MN19061_R,ERX3793969,TRUE,19801964,19801964,151,E-MTAB-8633:MN19061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448429,,MN19061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791864,E-MTAB-8633:M37W_V18_tassel_MN18062_R,ERX3793968,TRUE,24871595,24871595,151,E-MTAB-8633:MN18062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448428,,MN18062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791863,E-MTAB-8633:M37W_V18_tassel_MN18061_R,ERX3793967,TRUE,23484626,23484626,151,E-MTAB-8633:MN18061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448427,,MN18061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791862,E-MTAB-8633:M162W_V18_tassel_MN17062_R,ERX3793966,TRUE,26337658,26337658,151,E-MTAB-8633:MN17062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448426,,MN17062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791861,E-MTAB-8633:M162W_V18_tassel_MN17061_R,ERX3793965,TRUE,33092621,33092621,151,E-MTAB-8633:MN17061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448425,,MN17061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791860,E-MTAB-8633:Ky21_V18_tassel_MN16062_R,ERX3793964,TRUE,23454250,23454250,151,E-MTAB-8633:MN16062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448424,,MN16062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791859,E-MTAB-8633:Ky21_V18_tassel_MN16061_R,ERX3793963,TRUE,18981689,18055343,147,E-MTAB-8633:MN16061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448423,,MN16061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791858,E-MTAB-8633:Ki3_V18_tassel_MN15062_R,ERX3793962,TRUE,26638155,26638155,151,E-MTAB-8633:MN15062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448422,,MN15062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791857,E-MTAB-8633:Ki3_V18_tassel_MN15061_R,ERX3793961,TRUE,23680831,23680831,151,E-MTAB-8633:MN15061_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448421,,MN15061_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
ERR3791856,E-MTAB-8633:Ki11_V18_tassel_MN14062_R,ERX3793960,TRUE,24829236,24829236,151,E-MTAB-8633:MN14062_p,NextSeq 550 paired end sequencing; RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,RNA-seq samples of ten tissues for each of the 25 genomes of the Nested Associated Mapping (NAM) maize sequencing project,SAMEA6448420,,MN14062_p,PolyA,TRANSCRIPTOMIC,RNA-Seq
