srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR5725926,CI3A_HLC27CCXX_L6.clean_srt_dedup.bam,SRX2941868,TRUE,27505819,27505819,300,CI3A_HLC27CCXX_L6,WGS of maize:282set_CI3A,Whole genome sequencing of maize 282 panel,282set_CI3A,,CI3A_HLC27CCXX_L6,RANDOM,GENOMIC,WGS
SRR5725927,CML108_HLC27CCXX_L5.clean_srt_dedup.bam,SRX2941867,TRUE,32938350,32938350,300,CML108_HLC27CCXX_L5,WGS of maize:282set_CML108,Whole genome sequencing of maize 282 panel,282set_CML108,,CML108_HLC27CCXX_L5,RANDOM,GENOMIC,WGS
SRR5725928,CM105_HLCY2CCXX_L5.clean_srt_dedup.bam,SRX2941866,TRUE,36118442,36118442,300,CM105_HLCY2CCXX_L5,WGS of maize:282set_CM105,Whole genome sequencing of maize 282 panel,282set_CM105,,CM105_HLCY2CCXX_L5,RANDOM,GENOMIC,WGS
SRR5725929,Tzi9_HJ7HFCCXX_L8.clean_srt_dedup.bam,SRX2941865,TRUE,15445022,15445022,300,Tzi9_HJ7HFCCXX_L8,WGS of maize:282set_Tzi9,Whole genome sequencing of maize 282 panel,282set_Tzi9,,Tzi9_HJ7HFCCXX_L8,RANDOM,GENOMIC,WGS
SRR5725930,A682_HLCY2CCXX_L8.clean_srt_dedup.bam,SRX2941864,TRUE,40410727,40410727,300,A682_HLCY2CCXX_L8,WGS of maize:282set_A682,Whole genome sequencing of maize 282 panel,282set_A682,,A682_HLCY2CCXX_L8,RANDOM,GENOMIC,WGS
SRR5725629,A6_HLC27CCXX_L2.clean_srt_dedup.bam,SRX2941863,TRUE,19357617,19357617,300,A6_HLC27CCXX_L2,WGS of maize:282set_A6,Whole genome sequencing of maize 282 panel,282set_A6,,A6_HLC27CCXX_L2,RANDOM,GENOMIC,WGS
SRR5725630,Ab28A_HLC27CCXX_L7.clean_srt_dedup.bam,SRX2941862,TRUE,20461351,20461351,300,Ab28A_HLC27CCXX_L7,WGS of maize:282set_Ab28A,Whole genome sequencing of maize 282 panel,282set_Ab28A,,Ab28A_HLC27CCXX_L7,RANDOM,GENOMIC,WGS
SRR5725631,B103_HLCY2CCXX_L8.clean_srt_dedup.bam,SRX2941861,TRUE,40052546,40052546,300,B103_HLCY2CCXX_L8,WGS of maize:282set_B103,Whole genome sequencing of maize 282 panel,282set_B103,,B103_HLCY2CCXX_L8,RANDOM,GENOMIC,WGS
SRR5725632,B104_HLCY2CCXX_L4.clean_srt_dedup.bam,SRX2941860,TRUE,4591224,4591224,300,B104_HLCY2CCXX_L4,WGS of maize:282set_B104,Whole genome sequencing of maize 282 panel,282set_B104,,B104_HLCY2CCXX_L4,RANDOM,GENOMIC,WGS
SRR5725633,B105_HLCY2CCXX_L2.clean_srt_dedup.bam,SRX2941859,TRUE,21988878,21988878,300,B105_HLCY2CCXX_L2,WGS of maize:282set_B105,Whole genome sequencing of maize 282 panel,282set_B105,,B105_HLCY2CCXX_L2,RANDOM,GENOMIC,WGS
