srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
ERR965668,E-MTAB-3758:NG-6564_RIL99_lib19903_1418_4_,ERX1042635,TRUE,18771381,18771381,202,E-MTAB-3758:B73_H99_RIL99,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487036,,B73_H99_RIL99,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR965667,E-MTAB-3758:NG-6280_RIL96_P2_lib15143_1178_5_,ERX1042634,TRUE,37001343,37001343,202,E-MTAB-3758:B73_H99_RIL96_2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487035,,B73_H99_RIL96_2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR965666,E-MTAB-3758:NG-6280_RIL96_P1_lib15142_1178_5_,ERX1042633,TRUE,34139412,34139412,202,E-MTAB-3758:B73_H99_RIL96_1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487034,,B73_H99_RIL96_1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR965665,E-MTAB-3758:NG-6564_RIL95_lib19902_1418_4_,ERX1042632,TRUE,11778988,11778988,202,E-MTAB-3758:B73_H99_RIL95,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487033,,B73_H99_RIL95,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR965664,E-MTAB-3758:NG-6280_RIL94_P2_lib15139_1178_5_,ERX1042631,TRUE,33838616,33838616,202,E-MTAB-3758:B73_H99_RIL94_2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487032,,B73_H99_RIL94_2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR965663,E-MTAB-3758:NG-6280_RIL94_P1_lib15138_1178_5_,ERX1042630,TRUE,22058171,22058171,202,E-MTAB-3758:B73_H99_RIL94_1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487031,,B73_H99_RIL94_1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR965662,E-MTAB-3758:NG-6564_RIL93_lib19901_1418_4_,ERX1042629,TRUE,18787732,18787732,202,E-MTAB-3758:B73_H99_RIL93,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487030,,B73_H99_RIL93,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR965661,E-MTAB-3758:NG-6564_RIL92_lib19900_1418_4_,ERX1042628,TRUE,18713785,18713785,202,E-MTAB-3758:B73_H99_RIL92,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487029,,B73_H99_RIL92,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR965660,E-MTAB-3758:NG-6564_RIL91_lib19899_1418_4_,ERX1042627,TRUE,16454739,16454739,202,E-MTAB-3758:B73_H99_RIL91,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487028,,B73_H99_RIL91,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR965659,E-MTAB-3758:NG-6564_RIL90_lib19898_1418_4_,ERX1042626,TRUE,17789249,17789249,202,E-MTAB-3758:B73_H99_RIL90,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,Transcriptome analysis of 103 RILs of a B73 x H99 RIL population,SAMEA3487027,,B73_H99_RIL90,RANDOM,TRANSCRIPTOMIC,RNA-Seq
