srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR5290943,GSM2509847_r1,SRX2593665,TRUE,20220174,20220174,300,GSM2509847,GSM2509847: MB_05_EN_rep3; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509847,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5290942,GSM2509846_r1,SRX2593664,TRUE,15087116,15087116,300,GSM2509846,GSM2509846: MB_05_EN_rep2; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509846,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5290941,GSM2509845_r1,SRX2593663,TRUE,12615516,12615516,300,GSM2509845,GSM2509845: MB_05_EN_rep1; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509845,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5290940,GSM2509844_r1,SRX2593662,TRUE,15803824,15803824,300,GSM2509844,GSM2509844: BM_05_EN_rep3; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509844,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5290939,GSM2509843_r1,SRX2593661,TRUE,14691319,14691319,300,GSM2509843,GSM2509843: BM_05_EN_rep2; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509843,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5290938,GSM2509842_r1,SRX2593659,TRUE,9530113,9530113,300,GSM2509842,GSM2509842: BM_05_EN_rep1; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509842,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5290937,GSM2509841_r1,SRX2593658,TRUE,16540934,16540934,200,GSM2509841,GSM2509841: MB_13_EM_rep3; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509841,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5290936,GSM2509840_r1,SRX2593657,TRUE,17586032,17586032,200,GSM2509840,GSM2509840: MB_13_EM_rep2; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509840,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5290935,GSM2509839_r1,SRX2593656,TRUE,16906124,16906124,200,GSM2509839,GSM2509839: MB_13_EM_rep1; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509839,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5290934,GSM2509838_r1,SRX2593655,TRUE,15799079,15799079,200,GSM2509838,GSM2509838: BM_13_EM_rep3; Zea mays; RNA-Seq,,Sequential gene activation and extensive gene imprinting during early embryo development in maize,GSM2509838,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
