srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
ERR712366,E-MTAB-3173:NG-6280_Mo17_P2_lib15155_1178_6,ERX656365,TRUE,28980279,28980279,202,E-MTAB-3173:Mo17_repl2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180030,,Mo17_repl2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712360,E-MTAB-3173:NG-6280_CML91_P1_lib15148_1178_6,ERX656364,TRUE,25689198,25689198,202,E-MTAB-3173:CML91_repl1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180029,,CML91_repl1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712350,E-MTAB-3173:NG-6280_HP301_P2_lib15153_1178_7,ERX656363,TRUE,40056949,40056949,202,E-MTAB-3173:HP301_repl2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180028,,HP301_repl2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712358,E-MTAB-3173:NG-6280_F7_P2_lib15151_1178_7,ERX656362,TRUE,32572048,32572048,202,E-MTAB-3173:F7_repl2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180027,,F7_repl2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712364,E-MTAB-3173:NG-6280_CML91_P2_lib15149_1178_7,ERX656361,TRUE,34925504,34925504,202,E-MTAB-3173:CML91_repl2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180026,,CML91_repl2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712357,E-MTAB-3173:NG-6257_H99_2_lib14492_ID1123_6,ERX656360,TRUE,16870866,16870866,202,E-MTAB-3173:H99_repl2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180025,,H99_repl2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712361,E-MTAB-3173:NG-6280_A632_P2_lib15147_1178_7,ERX656377,TRUE,27457207,27457207,202,E-MTAB-3173:A632_repl2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180042,,A632_repl2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712356,E-MTAB-3173:NG-6257_H99_3_lib14493_ID1123_6,ERX656376,TRUE,20351257,20351257,202,E-MTAB-3173:H99_repl3,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180041,,H99_repl3,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712355,E-MTAB-3173:NG-6280_F7_P1_lib15150_1178_6,ERX656375,TRUE,33474455,33474455,202,E-MTAB-3173:F7_repl1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180040,,F7_repl1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712354,E-MTAB-3173:NG-6257_B73_2_lib14495_ID1123_6,ERX656374,TRUE,26216174,26216174,202,E-MTAB-3173:B73_repl2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180039,,B73_repl2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712367,E-MTAB-3173:NG-6280_W153R_p1_lib15156_1178_7,ERX656373,TRUE,27651332,27651332,202,E-MTAB-3173:W153R_repl1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180038,,W153R_repl1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712353,E-MTAB-3173:NG-6280_HP301_P1_lib15152_1178_6,ERX656372,TRUE,27870494,27870494,202,E-MTAB-3173:HP301_repl1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180037,,HP301_repl1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712365,E-MTAB-3173:NG-6257_B73_3_lib14496_ID1123_6,ERX656371,TRUE,17549590,17549590,202,E-MTAB-3173:B73_repl3,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180036,,B73_repl3,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712362,E-MTAB-3173:NG-6257_H99_1_lib14497_ID1123_6,ERX656370,TRUE,21132793,21132793,202,E-MTAB-3173:H99_repl1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180035,,H99_repl1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712352,E-MTAB-3173:NG-6280_W153R_p2_lib15157_1178_6,ERX656369,TRUE,32288013,32288013,202,E-MTAB-3173:W153R_repl2,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180034,,W153R_repl2,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712351,E-MTAB-3173:NG-6257_B73_1_lib14494_ID1123_6,ERX656368,TRUE,11946860,11946860,202,E-MTAB-3173:B73_repl1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180033,,B73_repl1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712363,E-MTAB-3173:NG-6280_A632_P1_lib15146_1178_6,ERX656367,TRUE,24596809,24596809,202,E-MTAB-3173:A632_repl1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180032,,A632_repl1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR712359,E-MTAB-3173:NG-6280_Mo17_P1_lib15154_1178_7,ERX656366,TRUE,39923588,39923588,202,E-MTAB-3173:Mo17_repl1,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,Transcriptome analysis of proliferative tissue of eight maize inbred lines,SAMEA3180031,,Mo17_repl1,RANDOM,TRANSCRIPTOMIC,RNA-Seq
