srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR1573527,GSM1502529_r1,SRX699528,TRUE,14169987,14169987,202,GSM1502529,GSM1502529: S_L1.3; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502529,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573526,GSM1502528_r1,SRX699527,TRUE,22979235,22979235,202,GSM1502528,GSM1502528: S_L1.2; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502528,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573525,GSM1502527_r1,SRX699526,TRUE,7951683,7951683,202,GSM1502527,GSM1502527: S_L1.1; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502527,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573524,GSM1502526_r1,SRX699525,TRUE,28224925,28224925,202,GSM1502526,GSM1502526: L_L1.3; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502526,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573523,GSM1502525_r1,SRX699524,TRUE,4724584,4724584,202,GSM1502525,GSM1502525: L_L1.2; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502525,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573522,GSM1502524_r1,SRX699523,TRUE,14809832,14809832,202,GSM1502524,GSM1502524: L_L1.1; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502524,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573521,GSM1502523_r1,SRX699522,TRUE,18869666,18869666,202,GSM1502523,GSM1502523: B_L1.3; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502523,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573520,GSM1502522_r1,SRX699521,TRUE,14492909,14492909,202,GSM1502522,GSM1502522: B_L1.2; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502522,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573519,GSM1502521_r1,SRX699520,TRUE,40182222,40182222,202,GSM1502521,GSM1502521: B_L1.1; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502521,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573518,GSM1502520_r1,SRX699519,TRUE,50617400,50617400,202,GSM1502520,GSM1502520: lg1-3; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502520,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573517,GSM1502519_r1,SRX699518,TRUE,19842178,19842178,202,GSM1502519,GSM1502519: lg1-2; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502519,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573516,GSM1502518_r1,SRX699517,TRUE,24548838,24548838,202,GSM1502518,GSM1502518: lg1-1; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502518,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573515,GSM1502517_r1,SRX699516,TRUE,32186310,32186310,202,GSM1502517,GSM1502517: wtL-3; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502517,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573514,GSM1502516_r1,SRX699515,TRUE,20089168,20089168,202,GSM1502516,GSM1502516: wtL-2; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502516,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573513,GSM1502515_r1,SRX699514,TRUE,42029948,42029948,202,GSM1502515,GSM1502515: wtL-1; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502515,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573512,GSM1502514_r1,SRX699513,TRUE,14178336,14178336,200,GSM1502514,GSM1502514: S-5; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502514,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1573511,GSM1502513_r1,SRX699512,TRUE,21464235,21464235,200,GSM1502513,GSM1502513: S-4; Zea mays; RNA-Seq,Zea mays Transcriptome or Gene expression,GSM1502513,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
