srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR767703,W64A_r1,SRX246075,TRUE,22014734,22014734,100,W64A,W64A,Zea mays Variation,W64A,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767702,Tx303_r3,SRX246074,TRUE,25230109,25230109,100,Tx303 rep 3,Tx303 rep 3,Zea mays Variation,Tx303_R3,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767701,Tx303_r2,SRX246073,TRUE,26313196,26313196,100,Tx303 rep 2,Tx303 rep 2,Zea mays Variation,Tx303_R2,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767700,TIL17_r1,SRX246072,TRUE,20940234,20940234,100,TIL17,TIL17,Zea mays Variation,TIL17,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767699,TIL16_r1,SRX246071,TRUE,24542055,24542055,100,TIL16,TIL16,Zea mays Variation,TIL16,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767698,TIL15_r1,SRX246070,TRUE,21884742,21884742,100,TIL15,TIL15,Zea mays Variation,TIL15,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767697,TIL14_r1,SRX246069,TRUE,21011623,21011623,100,TIL14,TIL14,Zea mays Variation,TIL14,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767696,TIL11_r1,SRX246068,TRUE,22214335,22214335,100,TIL11,TIL11,Zea mays Variation,TIL11,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767695,TIL09_r1,SRX246067,TRUE,34970995,34970995,100,TIL09,TIL09,Zea mays Variation,TIL09,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767694,TIL07_r1,SRX246066,TRUE,30048309,30048309,100,TIL07,TIL07,Zea mays Variation,TIL07,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767693,TIL06_r1,SRX246065,TRUE,33196714,33196714,100,TIL06,TIL06,Zea mays Variation,TIL06,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767692,TIL01_r1,SRX246064,TRUE,32746000,32746000,100,TIL01,TIL01,Zea mays Variation,TIL01,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767691,Oh7b_r3,SRX246063,TRUE,27042424,27042424,100,Oh7b rep 3,Oh7b rep 3,Zea mays Variation,Oh7b_R3,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767690,Oh7b_r2,SRX246062,TRUE,26354947,26354947,100,Oh7b rep 2,Oh7b rep 2,Zea mays Variation,Oh7b_R2,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767689,MR25_r1,SRX246061,TRUE,31394449,31394449,100,MR25,MR25,Zea mays Variation,MR25,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767688,MR22_r1,SRX246060,TRUE,30555562,30555562,100,MR22,MR22,Zea mays Variation,MR22,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767687,MR20_r1,SRX246059,TRUE,32141650,32141650,100,MR20,MR20,Zea mays Variation,MR20,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767705,MR19_r1,SRX246058,TRUE,29427624,29427624,100,MR19,MR19,Zea mays Variation,MR19,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR767686,MR18_r1,SRX246057,TRUE,31043442,31043442,100,MR18,MR18,Zea mays Variation,MR18,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
