srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR7889834,GSM3398051_r1,SRX4727418,TRUE,528889134,528889134,152,GSM3398051,GSM3398051: HiC maize Leaf-HiC rep2; Zea mays; Hi-C,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398051,,,other,GENOMIC,Hi-C
SRR7889833,GSM3398050_r1,SRX4727417,TRUE,89828800,89828800,152,GSM3398050,GSM3398050: HiC maize Leaf-HiC rep1; Zea mays; Hi-C,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398050,,,other,GENOMIC,Hi-C
SRR7889832,GSM3398049_r1,SRX4727416,TRUE,113684140,113684140,71,GSM3398049,GSM3398049: ATAC-seq maize B73input rep2; Zea mays; ATAC-seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398049,,,other,GENOMIC,ATAC-seq
SRR7889831,GSM3398048_r1,SRX4727415,TRUE,112555834,112555834,71,GSM3398048,GSM3398048: ATAC-seq maize B73input rep1; Zea mays; ATAC-seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398048,,,other,GENOMIC,ATAC-seq
SRR7889829,GSM3398047_r1,SRX4727414,TRUE,76811222,76811222,72,GSM3398047,GSM3398047: ATAC-seq maize B73Ear rep1; Zea mays; ATAC-seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398047,,,other,GENOMIC,ATAC-seq
SRR7889830,GSM3398047_r2,SRX4727414,TRUE,174903747,174903747,72,GSM3398047,GSM3398047: ATAC-seq maize B73Ear rep1; Zea mays; ATAC-seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398047,,,other,GENOMIC,ATAC-seq
SRR7889827,GSM3398046_r1,SRX4727413,TRUE,95964379,95964379,72,GSM3398046,GSM3398046: ATAC-seq maize B73Leaf rep1; Zea mays; ATAC-seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398046,,,other,GENOMIC,ATAC-seq
SRR7889828,GSM3398046_r2,SRX4727413,TRUE,571321741,571321741,72,GSM3398046,GSM3398046: ATAC-seq maize B73Leaf rep1; Zea mays; ATAC-seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398046,,,other,GENOMIC,ATAC-seq
SRR7889826,GSM3398045_r1,SRX4727412,FALSE,10785815,0,76,GSM3398045,GSM3398045: DAP-seq maize SBP8_UB2; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398045,,,other,GENOMIC,OTHER
SRR7889825,GSM3398044_r1,SRX4727411,FALSE,10802484,0,75,GSM3398044,GSM3398044: DAP-seq maize SBP6; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398044,,,other,GENOMIC,OTHER
SRR7889824,GSM3398043_r1,SRX4727410,FALSE,10352176,0,75,GSM3398043,GSM3398043: DAP-seq maize SBP30_UB3; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398043,,,other,GENOMIC,OTHER
SRR7889823,GSM3398042_r1,SRX4727409,FALSE,16847447,0,75,GSM3398042,GSM3398042: DAP-seq maize LBD5; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398042,,,other,GENOMIC,OTHER
SRR7889822,GSM3398041_r1,SRX4727408,FALSE,14443498,0,75,GSM3398041,GSM3398041: DAP-seq maize LBD38; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398041,,,other,GENOMIC,OTHER
SRR7889821,GSM3398040_r1,SRX4727407,FALSE,16923907,0,75,GSM3398040,GSM3398040: DAP-seq maize LBD19_IG1; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398040,,,other,GENOMIC,OTHER
SRR7889820,GSM3398039_r1,SRX4727406,FALSE,7586773,0,69,GSM3398039,GSM3398039: DAP-seq maize LBD16_RA2; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398039,,,other,GENOMIC,OTHER
SRR7889818,GSM3398038_r1,SRX4727405,FALSE,12206223,0,75,GSM3398038,GSM3398038: DAP-seq maize EREB71 rep1; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398038,,,other,GENOMIC,OTHER
SRR7889819,GSM3398038_r2,SRX4727405,FALSE,18360362,0,76,GSM3398038,GSM3398038: DAP-seq maize EREB71 rep1; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398038,,,other,GENOMIC,OTHER
SRR7889817,GSM3398037_r1,SRX4727404,FALSE,8955343,0,76,GSM3398037,GSM3398037: DAP-seq maize EREB29; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398037,,,other,GENOMIC,OTHER
SRR7889816,GSM3398036_r2,SRX4727403,FALSE,5132154,0,70,GSM3398036,GSM3398036: DAP-seq maize EREB24_BBM rep1; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398036,,,other,GENOMIC,OTHER
SRR7889815,GSM3398036_r1,SRX4727403,FALSE,9081020,0,70,GSM3398036,GSM3398036: DAP-seq maize EREB24_BBM rep1; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398036,,,other,GENOMIC,OTHER
SRR7889814,GSM3398035_r1,SRX4727402,FALSE,10582357,0,75,GSM3398035,GSM3398035: DAP-seq maize EREB138; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398035,,,other,GENOMIC,OTHER
SRR7889813,GSM3398034_r1,SRX4727401,FALSE,4669689,0,72,GSM3398034,GSM3398034: DAP-seq maize EREB127; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398034,,,other,GENOMIC,OTHER
SRR7889812,GSM3398033_r1,SRX4727400,FALSE,10465551,0,75,GSM3398033,GSM3398033: DAP-seq maize BZIP96; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398033,,,other,GENOMIC,OTHER
SRR7889811,GSM3398032_r1,SRX4727399,FALSE,11029949,0,76,GSM3398032,GSM3398032: DAP-seq maize BZIP72; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398032,,,other,GENOMIC,OTHER
SRR7889808,GSM3398031_r1,SRX4727398,FALSE,23416223,0,75,GSM3398031,GSM3398031: DAP-seq maize BZIP57_FEA4 rep1; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398031,,,other,GENOMIC,OTHER
SRR7889809,GSM3398031_r2,SRX4727398,FALSE,23633639,0,75,GSM3398031,GSM3398031: DAP-seq maize BZIP57_FEA4 rep1; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398031,,,other,GENOMIC,OTHER
SRR7889810,GSM3398031_r3,SRX4727398,FALSE,24149450,0,75,GSM3398031,GSM3398031: DAP-seq maize BZIP57_FEA4 rep1; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398031,,,other,GENOMIC,OTHER
SRR7889807,GSM3398030_r1,SRX4727397,FALSE,13364988,0,75,GSM3398030,GSM3398030: DAP-seq maize BZIP54; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398030,,,other,GENOMIC,OTHER
SRR7889806,GSM3398029_r1,SRX4727396,FALSE,13844087,0,75,GSM3398029,GSM3398029: DAP-seq maize BZIP25; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398029,,,other,GENOMIC,OTHER
SRR7889805,GSM3398028_r1,SRX4727395,FALSE,62039954,0,75,GSM3398028,GSM3398028: DAP-seq maize BAD1; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398028,,,other,GENOMIC,OTHER
SRR7889804,GSM3398027_r1,SRX4727394,FALSE,27640102,0,75,GSM3398027,GSM3398027: DAP-seq maize control; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398027,,,other,GENOMIC,OTHER
SRR7889803,GSM3398026_r1,SRX4727393,FALSE,12949888,0,75,GSM3398026,GSM3398026: DAP-seq maize ARF7; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398026,,,other,GENOMIC,OTHER
SRR7889802,GSM3398025_r1,SRX4727392,FALSE,20233070,0,76,GSM3398025,GSM3398025: DAP-seq maize ARF4; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398025,,,other,GENOMIC,OTHER
SRR7889801,GSM3398024_r1,SRX4727391,FALSE,18838361,0,75,GSM3398024,GSM3398024: DAP-seq maize ARF39; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398024,,,other,GENOMIC,OTHER
SRR7889800,GSM3398023_r1,SRX4727390,FALSE,13082237,0,75,GSM3398023,GSM3398023: DAP-seq maize ARF36; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398023,,,other,GENOMIC,OTHER
SRR7889799,GSM3398022_r1,SRX4727389,FALSE,40294472,0,75,GSM3398022,GSM3398022: DAP-seq maize ARF35; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398022,,,other,GENOMIC,OTHER
SRR7889798,GSM3398021_r1,SRX4727388,FALSE,40746798,0,75,GSM3398021,GSM3398021: DAP-seq maize ARF34; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398021,,,other,GENOMIC,OTHER
SRR7889797,GSM3398020_r1,SRX4727387,FALSE,25473798,0,76,GSM3398020,GSM3398020: DAP-seq maize ARF29; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398020,,,other,GENOMIC,OTHER
