srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR924080,GSM1177823_r1,SRX316719,TRUE,32107569,32107569,180,GSM1177823,GSM1177823: MXB 15DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177823,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924079,GSM1177822_r1,SRX316718,TRUE,28161571,28161571,180,GSM1177822,GSM1177822: BXM 15DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177822,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924078,GSM1177821_r1,SRX316717,TRUE,34453871,34453871,180,GSM1177821,GSM1177821: MXB 10DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177821,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924077,GSM1177820_r1,SRX316716,TRUE,28263922,28263922,180,GSM1177820,GSM1177820: BXM 10DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177820,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924076,GSM1177819_r1,SRX316715,TRUE,33878691,33878691,180,GSM1177819,GSM1177819: MXB 7DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177819,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924075,GSM1177818_r1,SRX316714,TRUE,33551580,33551580,180,GSM1177818,GSM1177818: BXM 7DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177818,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924074,GSM1177817_r1,SRX316713,TRUE,32066711,32066711,180,GSM1177817,GSM1177817: MXB 5DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177817,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924073,GSM1177816_r1,SRX316712,TRUE,32166506,32166506,180,GSM1177816,GSM1177816: BXM 5DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177816,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924072,GSM1177815_r1,SRX316711,TRUE,32104881,32104881,180,GSM1177815,GSM1177815: MXB 3DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177815,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924071,GSM1177814_r1,SRX316710,TRUE,27316556,27316556,180,GSM1177814,GSM1177814: BXM 3DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177814,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924070,GSM1177813_r1,SRX316709,TRUE,34071461,34071461,180,GSM1177813,GSM1177813: MXB 0DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177813,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR924069,GSM1177812_r1,SRX316708,TRUE,31158866,31158866,180,GSM1177812,GSM1177812: BXM 0DAP; Zea mays; RNA-Seq,,Zea mays Transcriptome or Gene expression,GSM1177812,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
