srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR7153135,GSM3140228_r1,SRX4072596,TRUE,25580850,25580850,199,GSM3140228,GSM3140228: o2 ChIP rep2; Zea mays; ChIP-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140228,,,ChIP,GENOMIC,ChIP-Seq
SRR7153134,GSM3140227_r1,SRX4072595,TRUE,33169368,33169368,200,GSM3140227,GSM3140227: o2 ChIP rep1; Zea mays; ChIP-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140227,,,ChIP,GENOMIC,ChIP-Seq
SRR7153133,GSM3140226_r1,SRX4072594,TRUE,28166278,28166278,199,GSM3140226,GSM3140226: WT ChIP rep2; Zea mays; ChIP-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140226,,,ChIP,GENOMIC,ChIP-Seq
SRR7153132,GSM3140225_r1,SRX4072593,TRUE,38299434,38299434,200,GSM3140225,GSM3140225: WT ChIP rep1; Zea mays; ChIP-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140225,,,ChIP,GENOMIC,ChIP-Seq
SRR7153131,GSM3140224_r1,SRX4072592,TRUE,30956288,30956288,200,GSM3140224,GSM3140224: o2 RNA rep3; Zea mays; RNA-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140224,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7153130,GSM3140223_r1,SRX4072591,TRUE,29628718,29628718,200,GSM3140223,GSM3140223: o2 RNA rep2; Zea mays; RNA-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140223,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7153129,GSM3140222_r1,SRX4072590,TRUE,33397557,33397557,200,GSM3140222,GSM3140222: o2 RNA rep1; Zea mays; RNA-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140222,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7153128,GSM3140221_r1,SRX4072589,TRUE,26453242,26453242,200,GSM3140221,GSM3140221: WT RNA rep3; Zea mays; RNA-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140221,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7153127,GSM3140220_r1,SRX4072588,TRUE,28433700,28433700,200,GSM3140220,GSM3140220: WT RNA rep2; Zea mays; RNA-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140220,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7153126,GSM3140219_r1,SRX4072587,TRUE,28438096,28438096,200,GSM3140219,GSM3140219: WT RNA rep1; Zea mays; RNA-Seq,,Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm,GSM3140219,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
