srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR1838008,SAM14_3_files,SRX901559,TRUE,35286028,35286028,202,SAM14_3,Zea mays L. subsp. mays W22 (NSL 30053; Schnable Lab Ac5868) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,Zea mays- W22,,SAM14_3,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1838014,SAM35_5_files,SRX901565,TRUE,25727505,25727505,202,SAM35_5,Zea mays L. subsp. mays ZS365 (PI 574393; Schnable Lab Ac5882) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,ZS365,,SAM35_5,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1838013,SAM40_6_files,SRX901564,TRUE,23027257,23027257,202,SAM40_6,Zea mays L. subsp. mays ZS01250 (PI 595616; Schnable Lab Ac4285) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,ZS01250,,SAM40_6,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1838012,SAM61_3_files,SRX901563,TRUE,39298465,39298465,202,SAM61_3,Zea mays L. subsp. mays Yu796_NS (Ames 27196; Schnable Lab Ac4776) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,Yu796_NS,,SAM61_3,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1838011,SAM49_2_files,SRX901562,TRUE,26242333,26242333,202,SAM49_2,Zea mays L. subsp. mays WIL500 (PI 601689; Schnable Lab Ac4422) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,WIL500,,SAM49_2,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1838010,SAM51_5_files,SRX901561,TRUE,27105015,27105015,202,SAM51_5,Zea mays L. subsp. mays Wf9 (Ames 19293; Schnable Lab Ac5868) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,Wf9,,SAM51_5,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1838009,SAM8_2_files,SRX901560,TRUE,49882650,49882650,202,SAM8_2,Zea mays L. subsp. mays W64A (NSL 30058; Schnable Lab Ac5868) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,W64A,,SAM8_2,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1838007,SAM46_5_files,SRX901558,TRUE,36329049,36329049,202,SAM46_5,Zea mays L. subsp. mays W182B (Ames 19330; Schnable Lab Ac4626) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,W182B,,SAM46_5,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1838006,SAM56_5_files,SRX901557,TRUE,48462342,48462342,202,SAM56_5,Zea mays L. subsp. mays W153R (PI 587154; Schnable Lab Ac4878) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,W153R,,SAM56_5,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR1838005,SAM44_5_files,SRX901556,TRUE,30777028,30777028,202,SAM44_5,Zea mays L. subsp. mays W117Ht (Ames 8399; Schnable Lab Ac4600) shoot apex RNA-Seq,Zea mays Transcriptome or Gene expression,W117Ht,,SAM44_5,cDNA,TRANSCRIPTOMIC,RNA-Seq
