srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR5878412,Bstem2_L1_I20030.R2.clean.fastq.gz,SRX3045733,TRUE,11665808,11665808,200,RNA-seq of B73 stem harvested in silking stage (biological replicate 2),RNA-seq of maize B73 stem harvested in silking stage (biological replicate 2),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 stem harvested in silking stage,,RNA-seq of B73 stem harvested in silking stage (biological replicate 2),PCR,TRANSCRIPTOMIC,RNA-Seq
SRR5878413,Bstem1_L1_I20029.R1.clean.fastq.gz,SRX3045732,TRUE,14016952,14016952,200,RNA-seq of B73 stem harvested in silking stage (biological replicate 1),RNA-seq of maize B73 stem harvested in silking stage (biological replicate 1),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 stem harvested in silking stage,,RNA-seq of B73 stem harvested in silking stage (biological replicate 1),PCR,TRANSCRIPTOMIC,RNA-Seq
SRR5878414,Bby2_L2_I20046.R2.clean.fastq.gz,SRX3045731,TRUE,14668465,14668465,200,RNA-seq of B73 bract (biological replicate 2),RNA-seq of maize B73 bract (biological replicate 2),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 bract,,RNA-seq of B73 bract (biological replicate 2),PCR,TRANSCRIPTOMIC,RNA-Seq
SRR5878415,Bby1_L2_I20033.R1.clean.fastq.gz,SRX3045730,TRUE,12430725,12430725,200,RNA-seq of B73 bract (biological replicate 1),RNA-seq of maize B73 bract (biological replicate 1),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 bract,,RNA-seq of B73 bract (biological replicate 1),PCR,TRANSCRIPTOMIC,RNA-Seq
SRR5878416,Broot2_L1_I20026.R2.clean.fastq.gz,SRX3045729,TRUE,12900354,12900354,200,RNA-seq of B73 root  (biological replicate 2),RNA-seq of maize B73 root  (biological replicate 2),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 root,,RNA-seq of B73 root  (biological replicate 2),PCR,TRANSCRIPTOMIC,RNA-Seq
SRR5878417,Broot1_L1_I20044.R2.clean.fastq.gz,SRX3045728,TRUE,14685743,14685743,200,RNA-seq of B73 root  (biological replicate 1),RNA-seq of maize B73 root  (biological replicate 1),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 root,,RNA-seq of B73 root  (biological replicate 1),PCR,TRANSCRIPTOMIC,RNA-Seq
SRR5878418,BB12en-2_L2_I10028.R1.clean.fastq.gz,SRX3045727,TRUE,9740901,9740901,200,RNA-seq of B73 12 day after pollination endosperm (biological replicate 2),RNA-seq of maize B73 12 day after pollination endosperm (biological replicate 2),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 12 day after pollination endosperm,,RNA-seq of B73 12 day after pollination endosperm (biological replicate 2),PCR,TRANSCRIPTOMIC,RNA-Seq
SRR5878419,BB12en-1_L2_I10012.R2.clean.fastq.gz,SRX3045726,TRUE,11096673,11096673,200,RNA-seq of B73 12 day after pollination endosperm (biological replicate 1),RNA-seq of maize B73 12 day after pollination endosperm (biological replicate 1),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 12 day after pollination endosperm,,RNA-seq of B73 12 day after pollination endosperm (biological replicate 1),PCR,TRANSCRIPTOMIC,RNA-Seq
SRR5878420,BBS14-2_L2_I10026.R1.clean.fastq.gz,SRX3045725,TRUE,8753156,8753156,200,RNA-seq of B73 14 day seedling (biological replicate 2),RNA-seq of maize B73 14 day seedling (biological replicate 2),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 14 day seedling,,RNA-seq of B73 14 day seedling (biological replicate 2),PCR,TRANSCRIPTOMIC,RNA-Seq
SRR5878421,BBS14-1_L2_I10024.R1.clean.fastq.gz,SRX3045724,TRUE,8142489,8142489,200,RNA-seq of B73 14 day seedling (biological replicate 1),RNA-seq of maize B73 14 day seedling (biological replicate 1),Zea mays Mo17 Genome sequencing and assembly,RNA-seq of B73 14 day seedling,,RNA-seq of B73 14 day seedling (biological replicate 1),PCR,TRANSCRIPTOMIC,RNA-Seq
