srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR1168424,embryo_18DAP,SRX470181,TRUE,5254129,5254129,200,embryo_18DAP,transcriptome for embryo 18 days after pollination,Zea mays Transcriptome or Gene expression,18-DAP_embryo,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1522125,whole-seed_14DAP_REPLICATE2,SRX658636,TRUE,8488231,8488231,200,whole-seed_14DAP_replicate2,transcriptome replicate2 for whole seed 14 days after pollination,Zea mays Transcriptome or Gene expression,14DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1522119,whole-seed_14DAP_replicate1,SRX658599,TRUE,19970576,19970576,202,whole-seed_14DAP_replicate1,transcriptome replicate1 for whole seed 14 days after pollination,Zea mays Transcriptome or Gene expression,14DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170979,embryo_38DAP,SRX472069,TRUE,15578669,15578669,202,embryo_38DAP,transcriptome for embryo 38 days after pollination,Zea mays Transcriptome or Gene expression,38DAP_embryo_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170974,embryo_10DAP,SRX472064,TRUE,14355495,14355495,202,embryo_10DAP,transcriptome for embryo 10 days after pollination,Zea mays Transcriptome or Gene expression,10DAP_embryo_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170973,embryo_22DAP_rep2,SRX472063,TRUE,10048381,10048381,200,embryo_22DAP_rep2,transcriptome replicate2 for embryo 22 days after pollination,Zea mays Transcriptome or Gene expression,22DAP_embryo_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170972,embyro_22DAP_rep1,SRX472062,TRUE,17613539,17613539,202,embryo_22DAP_rep1,transcriptome replicate1 for embryo 22 days after pollination,Zea mays Transcriptome or Gene expression,22DAP_embryo_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170954,whole-seed_26DAP_rep2,SRX472058,TRUE,5831321,5831321,200,whole-seed_26DAP_rep2,transcriptome replicate2 for whole seed 26 days after pollination,Zea mays Transcriptome or Gene expression,26DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170953,whole-seed_26DAP_rep1,SRX472057,TRUE,14612015,14612015,202,whole-seed_26DAP_rep1,transcriptome replicate1 for whole seed 26 days after pollination,Zea mays Transcriptome or Gene expression,26DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170952,whole-seed_6DAP,SRX472056,TRUE,16071202,16071202,202,whole-seed_6DAP,transcriptome for whole seed 6 days after pollination,Zea mays Transcriptome or Gene expression,6DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170951,whole-seed_38DAP,SRX472055,TRUE,13145403,13145403,202,whole-seed_38DAP,transcriptome for whole seed 38 days after pollination,Zea mays Transcriptome or Gene expression,38DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170950,whole-seed_36DAP,SRX472054,TRUE,11680905,11680905,202,whole-seed_36DAP,transcriptome for whole seed 36 days after pollination,Zea mays Transcriptome or Gene expression,36DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170949,whole-seed_34DAP,SRX472053,TRUE,13321618,13321618,202,whole-seed_34DAP,transcriptome for whole seed 34 days after pollination,Zea mays Transcriptome or Gene expression,34DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170948,whole-seed_32DAP,SRX472052,TRUE,17771733,17771733,202,whole-seed_32DAP,transcriptome for whole seed 32 days after pollination,Zea mays Transcriptome or Gene expression,32DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170947,whole-seed_30DAP,SRX472051,TRUE,13416424,13416424,202,whole-seed_30DAP,transcriptome for whole seed 30 days after pollination,Zea mays Transcriptome or Gene expression,30DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170946,whole-seed_28DAP,SRX472050,TRUE,15625548,15625548,202,whole-seed_28DAP,transcriptome for whole seed 28 days after pollination,Zea mays Transcriptome or Gene expression,28DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170945,whole-seed_24DAP_rep2,SRX472049,TRUE,9542764,9542764,200,whole-seed_24DAP_rep2,transcriptome replicate2 for whole seed 24 days after pollination,Zea mays Transcriptome or Gene expression,24DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170944,whole-seed_24DAP_rep1,SRX472048,TRUE,20045789,20045789,202,whole-seed_24DAP_rep1,transcriptome replicate1 for whole seed 24 days after pollination,Zea mays Transcriptome or Gene expression,24DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170943,whole-seed_22DAP,SRX472047,TRUE,12276187,12276187,202,whole-seed_22DAP,transcriptome for whole seed 22 days after pollination,Zea mays Transcriptome or Gene expression,22DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170942,whole-seed_20DAP_rep2,SRX472046,TRUE,9891584,9891584,200,whole-seed_20DAP_rep2,transcriptome replicate2 for whole seed 20 days after pollination,Zea mays Transcriptome or Gene expression,20DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170941,whole-seed_20DAP_rep1,SRX472045,TRUE,12760630,12760630,202,whole-seed_20DAP_rep1,transcriptome replicate1 for whole seed 20 days after pollination,Zea mays Transcriptome or Gene expression,20DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170940,whole-seed_18DAY_rep2,SRX472044,TRUE,10990444,10990444,200,whole-seed_18DAP_rep2,transcriptome replicate2 for whole seed 18 days after pollination,Zea mays Transcriptome or Gene expression,18DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170939,whole-seed_18DAP_rep1,SRX472043,TRUE,18132072,18132072,202,whole-seed_18DAP_rep1,transcriptome replicate1 for whole seed 18 days after pollination,Zea mays Transcriptome or Gene expression,18DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170938,whole-seed_16DAP_rep2,SRX472042,TRUE,6092339,6092339,200,whole-seed_16DAP_rep2,transcriptome replicate2 for whole seed 16 days after pollination,Zea mays Transcriptome or Gene expression,16DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1170937,whole-seed_16DAP_rep1,SRX472041,TRUE,15103700,15103700,202,whole-seed_16DAP_rep1,transcriptome replicate1 for whole seed 16 days after pollination,Zea mays Transcriptome or Gene expression,16DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR1169655,whole-seed_12DAP,SRX471151,TRUE,17624495,17624495,202,whole-seed_12DAP,transcriptome for whole seed 12 days after pollination,Zea mays Transcriptome or Gene expression,12DAP_whole-seed_B73,,,size fractionation,TRANSCRIPTOMIC,RNA-Seq
