srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR957482,GSM1215387_r1,SRX339823,FALSE,28074423,0,100,GSM1215387,GSM1215387: Vegetative Meristem & Surrounding Tissue 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215387,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957481,GSM1215386_r1,SRX339822,FALSE,27898523,0,100,GSM1215386,GSM1215386: Vegetative Meristem & Surrounding Tissue 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215386,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957480,GSM1215385_r1,SRX339821,FALSE,27739041,0,100,GSM1215385,GSM1215385: Internode 7-8 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215385,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957479,GSM1215384_r1,SRX339820,FALSE,22424620,0,100,GSM1215384,GSM1215384: Internode 7-8 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215384,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957478,GSM1215383_r1,SRX339819,FALSE,24874762,0,100,GSM1215383,GSM1215383: Internode 7-8 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215383,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957477,GSM1215382_r1,SRX339818,FALSE,26940355,0,100,GSM1215382,GSM1215382: Internode 6-7 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215382,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957476,GSM1215381_r1,SRX339817,FALSE,24580159,0,100,GSM1215381,GSM1215381: Internode 6-7 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215381,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957475,GSM1215380_r1,SRX339816,FALSE,25545711,0,100,GSM1215380,GSM1215380: Internode 6-7 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215380,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957474,GSM1215379_r1,SRX339815,FALSE,23132075,0,100,GSM1215379,GSM1215379: mature female spikelets 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215379,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957473,GSM1215378_r1,SRX339814,FALSE,20637844,0,100,GSM1215378,GSM1215378: mature female spikelets 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215378,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957472,GSM1215377_r1,SRX339813,FALSE,17739708,0,100,GSM1215377,GSM1215377: mature female spikelets 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215377,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957471,GSM1215376_r1,SRX339812,FALSE,14416283,0,100,GSM1215376,GSM1215376: silks 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215376,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957470,GSM1215375_r1,SRX339811,FALSE,21843496,0,100,GSM1215375,GSM1215375: silks 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215375,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957469,GSM1215374_r1,SRX339810,FALSE,26033855,0,100,GSM1215374,GSM1215374: silks 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215374,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957468,GSM1215373_r1,SRX339809,FALSE,30484162,0,100,GSM1215373,GSM1215373: Mature pollen 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215373,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957467,GSM1215372_r1,SRX339808,FALSE,29911225,0,100,GSM1215372,GSM1215372: Mature pollen 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215372,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957466,GSM1215371_r1,SRX339807,FALSE,30662732,0,100,GSM1215371,GSM1215371: Mature pollen 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215371,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957465,GSM1215370_r1,SRX339806,FALSE,29520529,0,100,GSM1215370,GSM1215370: SR 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215370,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957464,GSM1215369_r1,SRX339805,FALSE,27693928,0,100,GSM1215369,GSM1215369: SR 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215369,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957463,GSM1215368_r1,SRX339804,FALSE,25434710,0,100,GSM1215368,GSM1215368: SR 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215368,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957462,GSM1215367_r1,SRX339803,FALSE,27748895,0,100,GSM1215367,GSM1215367: PR 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215367,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957461,GSM1215366_r1,SRX339802,FALSE,26344210,0,100,GSM1215366,GSM1215366: PR 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215366,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
