SampleID	Tissue	Genotype	Treatment	Replicate	paired	interleaved	r0	r1	r2
s01	seedling_leaf3	B73		1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130107_SN1073_0307_AD1M73ACXX/Project_Springer_Project_014/B73_ACAGTG_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130107_SN1073_0307_AD1M73ACXX/Project_Springer_Project_014/B73_ACAGTG_L007_R2_001.fastq
s02	seedling_leaf3	B73		2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130107_SN1073_0307_AD1M73ACXX/Project_Springer_Project_014/B73_ACAGTG_L008_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130107_SN1073_0307_AD1M73ACXX/Project_Springer_Project_014/B73_ACAGTG_L008_R2_001.fastq
s03	seedling_leaf3	Mo17		1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130107_SN1073_0307_AD1M73ACXX/Project_Springer_Project_014/Mo17_GCCAAT_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130107_SN1073_0307_AD1M73ACXX/Project_Springer_Project_014/Mo17_GCCAAT_L007_R2_001.fastq
s04	seedling_leaf3	Mo17		2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130107_SN1073_0307_AD1M73ACXX/Project_Springer_Project_014/Mo17_GCCAAT_L008_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130107_SN1073_0307_AD1M73ACXX/Project_Springer_Project_014/Mo17_GCCAAT_L008_R2_001.fastq
s05	seedling_leaf3	B73		3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130220_SN1073_0313_BD1WL4ACXX/Project_Springer_Project_014/B73_ACAGTG_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130220_SN1073_0313_BD1WL4ACXX/Project_Springer_Project_014/B73_ACAGTG_L005_R2_001.fastq
s06	seedling_leaf3	B73		4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130220_SN1073_0313_BD1WL4ACXX/Project_Springer_Project_014/B73_ACAGTG_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130220_SN1073_0313_BD1WL4ACXX/Project_Springer_Project_014/B73_ACAGTG_L006_R2_001.fastq
s07	seedling_leaf3	Mo17		3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130220_SN1073_0313_BD1WL4ACXX/Project_Springer_Project_014/Mo17_GCCAAT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130220_SN1073_0313_BD1WL4ACXX/Project_Springer_Project_014/Mo17_GCCAAT_L005_R2_001.fastq
s08	seedling_leaf3	Mo17		4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130220_SN1073_0313_BD1WL4ACXX/Project_Springer_Project_014/Mo17_GCCAAT_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130220_SN1073_0313_BD1WL4ACXX/Project_Springer_Project_014/Mo17_GCCAAT_L006_R2_001.fastq
s09	seedling_leaf3	B73		5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130417_SN1073_0320_AC221LACXX/Project_Springer_Project_014/B73_ACAGTG_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130417_SN1073_0320_AC221LACXX/Project_Springer_Project_014/B73_ACAGTG_L001_R2_001.fastq
s10	seedling_leaf3	B73		6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130417_SN1073_0320_AC221LACXX/Project_Springer_Project_014/Mo17_GCCAAT_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130417_SN1073_0320_AC221LACXX/Project_Springer_Project_014/Mo17_GCCAAT_L001_R2_001.fastq
s11	seedling_leaf3	CML322		1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/CML322_CACGAT_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/CML322_CACGAT_L004_R2_001.fastq
s12	seedling_leaf3	CML322		2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/CML322_CACGAT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/CML322_CACGAT_L005_R2_001.fastq
s13	seedling_leaf3	CML322		3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/CML322_CACGAT_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/CML322_CACGAT_L006_R2_001.fastq
s14	seedling_leaf3	Oh43		1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L004_R2_001.fastq
s15	seedling_leaf3	Oh43		2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L005_R2_001.fastq
s16	seedling_leaf3	Oh43		3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L006_R2_001.fastq
s17	seedling_leaf3	Tx303		1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L004_R2_001.fastq
s18	seedling_leaf3	Tx303		2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L005_R2_001.fastq
s19	seedling_leaf3	Tx303		3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L006_R2_001.fastq
s20	seedling_leaf3	CML322		4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/CML322_CACGAT_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/CML322_CACGAT_L001_R2_001.fastq
s21	seedling_leaf3	CML322		5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/CML322_CACGAT_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/CML322_CACGAT_L002_R2_001.fastq
s22	seedling_leaf3	CML322		6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/CML322_CACGAT_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/CML322_CACGAT_L003_R2_001.fastq
s23	seedling_leaf3	Oh43		4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L001_R2_001.fastq
s24	seedling_leaf3	Oh43		5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L002_R2_001.fastq
s25	seedling_leaf3	Oh43		6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Oh43_GGTAGC_L003_R2_001.fastq
s26	seedling_leaf3	Tx303		4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L001_R2_001.fastq
s27	seedling_leaf3	Tx303		5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L002_R2_001.fastq
s28	seedling_leaf3	Tx303		6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017/Tx303_GTGCTA_L003_R2_001.fastq
