SampleID	Tissue	Genotype	Treatment	Replicate	paired	interleaved	r0	r1	r2
s01	seedling_leaf3	B73	cold	1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep1_TTAGGC_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep1_TTAGGC_L003_R2_001.fastq
s02	seedling_leaf3	B73	cold	2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep2_TGACCA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep2_TGACCA_L003_R2_001.fastq
s03	seedling_leaf3	B73	cold	3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep3_resubmit_GGCTAC_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_cold_rep3_resubmit_GGCTAC_L003_R2_001.fastq
s04	seedling_leaf3	B73	control	1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep1_ATCACG_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep1_ATCACG_L003_R2_001.fastq
s05	seedling_leaf3	B73	control	2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep2_CGATGT_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep2_CGATGT_L003_R2_001.fastq
s06	seedling_leaf3	B73	control	3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep3_resubmit_CTTGTA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_control_rep3_resubmit_CTTGTA_L003_R2_001.fastq
s07	seedling_leaf3	B73	heat	1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep1_resubmit_AGTCAA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep1_resubmit_AGTCAA_L003_R2_001.fastq
s08	seedling_leaf3	B73	heat	2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep2_ACAGTG_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep2_ACAGTG_L003_R2_001.fastq
s09	seedling_leaf3	B73	heat	3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep3_resubmit_AGTTCC_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73_heat_rep3_resubmit_AGTTCC_L003_R2_001.fastq
s10	seedling_leaf3	B73xMo17	cold	1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep1_GAGTGG_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/151015_D00635_0083_BC7N57ANXX/Project_Springer_Project_033/B73xMo17_cold_rep1_GAGTGG_L005_R2_001.fastq
