SampleID	Tissue	Genotype	Treatment	Replicate	paired	interleaved	r0	r1	r2
s01	NA	NA	NA	1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L001_R2_001.fastq
s02	NA	NA	NA	2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L002_R2_001.fastq
s03	NA	NA	NA	3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L003_R2_001.fastq
s04	NA	NA	NA	4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L004_R2_001.fastq
s05	NA	NA	NA	5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Blanco_AGTCAA_L005_R2_001.fastq
s06	NA	NA	NA	6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L001_R2_001.fastq
s07	NA	NA	NA	7	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L002_R2_001.fastq
s08	NA	NA	NA	8	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L003_R2_001.fastq
s09	NA	NA	NA	9	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L004_R2_001.fastq
s10	NA	NA	NA	10	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC1_CGATGT_L005_R2_001.fastq
s11	NA	NA	NA	11	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L001_R2_001.fastq
s12	NA	NA	NA	12	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L002_R2_001.fastq
s13	NA	NA	NA	13	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L003_R2_001.fastq
s14	NA	NA	NA	14	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L004_R2_001.fastq
s15	NA	NA	NA	15	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BL_W22_BC6_GTGAAA_L005_R2_001.fastq
s16	NA	NA	NA	16	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L001_R2_001.fastq
s17	NA	NA	NA	17	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L002_R2_001.fastq
s18	NA	NA	NA	18	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L003_R2_001.fastq
s19	NA	NA	NA	19	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L004_R2_001.fastq
s20	NA	NA	NA	20	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/Bravo_CTTGTA_L005_R2_001.fastq
s21	NA	NA	NA	21	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L001_R2_001.fastq
s22	NA	NA	NA	22	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L002_R2_001.fastq
s23	NA	NA	NA	23	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L003_R2_001.fastq
s24	NA	NA	NA	24	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L004_R2_001.fastq
s25	NA	NA	NA	25	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC1_ATGTCA_L005_R2_001.fastq
s26	NA	NA	NA	26	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L001_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L001_R2_001.fastq
s27	NA	NA	NA	27	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L002_R2_001.fastq
s28	NA	NA	NA	28	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L003_R2_001.fastq
s29	NA	NA	NA	29	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L004_R2_001.fastq
s30	NA	NA	NA	30	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030/BR_W22_BC6_GTCCGC_L005_R2_001.fastq
