SampleID	Tissue	Genotype	Treatment	Replicate	paired	interleaved	r0	r1	r2
s01	seedling_leaf3	LH82		1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L002_R2_001.fastq
s02	seedling_leaf3	LH82		2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L003_R2_001.fastq
s03	seedling_leaf3	LH82		3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L004_R2_001.fastq
s04	seedling_leaf3	LH82		4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L005_R2_001.fastq
s05	seedling_leaf3	LH82		5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L006_R2_001.fastq
s06	seedling_leaf3	LH82		6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L007_R2_001.fastq
s07	seedling_leaf3	Mo17		1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L002_R2_001.fastq
s08	seedling_leaf3	Mo17		2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L003_R2_001.fastq
s09	seedling_leaf3	Mo17		3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L004_R2_001.fastq
s10	seedling_leaf3	Mo17		4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L005_R2_001.fastq
s11	seedling_leaf3	Mo17		5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L006_R2_001.fastq
s12	seedling_leaf3	Mo17		6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L007_R2_001.fastq
s13	seedling_leaf3	P39		1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L002_R2_001.fastq
s14	seedling_leaf3	P39		2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L003_R2_001.fastq
s15	seedling_leaf3	P39		3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L004_R2_001.fastq
s16	seedling_leaf3	P39		4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L005_R2_001.fastq
s17	seedling_leaf3	P39		5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L006_R2_001.fastq
