SampleID	Species	Tissue	Genotype	Treatment	ReadFile1	ReadFile2
V3leafControlPolysomal1	Zmays	V3leafControlPolysomal	B73	V3leafControlPolysomal_1	/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlPolysomalAGTCAA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlPolysomalAGTCAA.fastq.gz
V3leafControlPolysomal2	Zmays	V3leafControlPolysomal	B73	V3leafControlPolysomal_2	/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlPolysomalATGTCA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlPolysomalATGTCA.fastq.gz
V3leafControlPolysomal3	Zmays	V3leafControlPolysomal	B73	V3leafControlPolysomal_3	/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlPolysomalCACCGG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlPolysomalCACCGG.fastq.gz
V3leafControlPolysomal4	Zmays	V3leafControlPolysomal	B73	V3leafControlPolysomal_4	/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlPolysomalCCGTCC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlPolysomalCCGTCC.fastq.gz
V3leafControlTotal1	Zmays	V3leafControlTotal	B73	V3leafControlTotal_1	/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlTotalATCACG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlTotalATCACG.fastq.gz
V3leafControlTotal2	Zmays	V3leafControlTotal	B73	V3leafControlTotal_2	/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlTotalCCAACA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlTotalCCAACA.fastq.gz
V3leafControlTotal3	Zmays	V3leafControlTotal	B73	V3leafControlTotal_3	/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlTotalCGATGT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlTotalCGATGT.fastq.gz
V3leafControlTotal4	Zmays	V3leafControlTotal	B73	V3leafControlTotal_4	/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlTotalTTAGGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlTotalTTAGGC.fastq.gz
V3leafRecoveryPolysomal1	Zmays	V3leafRecoveryPolysomal	B73	V3leafRecoveryPolysomal_1	/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryPolysomalCGTACG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryPolysomalCGTACG.fastq.gz
V3leafRecoveryPolysomal2	Zmays	V3leafRecoveryPolysomal	B73	V3leafRecoveryPolysomal_2	/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryPolysomalGAGTGG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryPolysomalGAGTGG.fastq.gz
