SampleID	Genotype	Tissue	Treatment	directory	file_prefix
	B73	root	Salt	/home/springer/data_release/umgc/hiseq/180123_D00635_0327_BCC65PANXX/Springer_Project_060	Springer_060_Pool1_Index1_S1
	B73	root	Cold		Springer_060_Pool1_Index2_S2
	B73	root	Sand		Springer_060_Pool1_Index3_S3
	B73	root	Drought		Springer_060_Pool1_Index8_S4
	B73	root	Cold		Springer_060_Pool1_Index9_S5
	B73	root	Control		Springer_060_Pool1_Index10_S6
	B73	root	Salt		Springer_060_Pool1_Index11_S7
	B73	root	Control		Springer_060_Pool1_Index20_S8
	B73	root	Salt		Springer_060_Pool1_Index21_S9
	B73	root	Sand		Springer_060_Pool1_Index22_S10
	B73	root	Drought		Springer_060_Pool1_Index23_S11
	B73	root	Cold		Springer_060_Pool1_Index25_S12
	B73	root	Control		Springer_060_Pool1_Index27_S13
	W22	leaf	Salt		Springer_060_Pool2_Index1_S14
	W22	leaf	Sand		Springer_060_Pool2_Index3_S15
	W22	leaf	Sand		Springer_060_Pool2_Index4_S16
	W22	leaf	Drought		Springer_060_Pool2_Index5_S17
	W22	leaf	Cold		Springer_060_Pool2_Index6_S18
	W22	leaf	Drought		Springer_060_Pool2_Index8_S19
	W22	leaf	Cold		Springer_060_Pool2_Index9_S20
	W22	leaf	Control		Springer_060_Pool2_Index10_S21
	W22	leaf	Salt		Springer_060_Pool2_Index11_S22
	W22	leaf	Control		Springer_060_Pool2_Index20_S23
	W22	leaf	Salt		Springer_060_Pool2_Index21_S24
	W22	leaf	Sand		Springer_060_Pool2_Index22_S25
	W22	leaf	Drought		Springer_060_Pool2_Index23_S26
	W22	leaf	Cold		Springer_060_Pool2_Index25_S27
	W22	leaf	Control		Springer_060_Pool2_Index27_S28
	Oh43	leaf	Salt		Springer_060_Pool3_Index1_S29
	Oh43	leaf	Sand		Springer_060_Pool3_Index3_S30
	Oh43	leaf	Drought		Springer_060_Pool3_Index8_S31
	Oh43	leaf	Cold		Springer_060_Pool3_Index9_S32
	Tx303	leaf	Control		Springer_060_Pool3_Index10_S33
	Tx303	leaf	Cold		Springer_060_Pool3_Index11_S34
	Mo17	leaf	Control		Springer_060_Pool3_Index20_S35
	Mo17	leaf	Salt		Springer_060_Pool3_Index21_S36
	Mo17	leaf	Sand		Springer_060_Pool3_Index22_S37
	Mo17	leaf	Drought		Springer_060_Pool3_Index23_S38
	Mo17	leaf	Cold		Springer_060_Pool3_Index25_S39
	Oh43	leaf	Control		Springer_060_Pool3_Index27_S40
	P39	leaf	Salt		Springer_060_Pool4_Index1_S41
	P39	leaf	Drought		Springer_060_Pool4_Index3_S42
	P39	leaf	Cold		Springer_060_Pool4_Index8_S43
	P39	leaf	Sand		Springer_060_Pool4_Index9_S44
	PH207	leaf	Control		Springer_060_Pool4_Index20_S45
	PH207	leaf	Salt		Springer_060_Pool4_Index21_S46
	PH207	leaf	Sand		Springer_060_Pool4_Index22_S47
	PH207	leaf	Drought		Springer_060_Pool4_Index23_S48
	PH207	leaf	Cold		Springer_060_Pool4_Index25_S49
	P39	leaf	Control		Springer_060_Pool4_Index27_S50
	B73	leaf	Drought	/home/springer/data_release/umgc/hiseq/180129_D00635_0328_BCC7WHANXX/Springer_Project_060	Springer_060_Pool5_Index1_S1
	B73	leaf	Cold		Springer_060_Pool5_Index3_S2
	B73	leaf	Control		Springer_060_Pool5_Index8_S3
	B73	leaf	Salt		Springer_060_Pool5_Index9_S4
	B73	leaf	Control		Springer_060_Pool5_Index10_S5
	B73	leaf	Salt		Springer_060_Pool5_Index11_S6
	B73	leaf	Cold		Springer_060_Pool5_Index12_S7
	B73	leaf	Sand		Springer_060_Pool5_Index20_S8
	B73	leaf	Drought		Springer_060_Pool5_Index21_S9
	B73	leaf	Cold		Springer_060_Pool5_Index22_S10
	B73	leaf	Control		Springer_060_Pool5_Index23_S11
	B73	leaf	Salt		Springer_060_Pool5_Index25_S12
	B73	leaf	Sand		Springer_060_Pool5_Index27_S13
	W22	root	Sand		Springer_060_Pool6_Index1_S14
	W22	root	Drought		Springer_060_Pool6_Index3_S15
	W22	root	Cold		Springer_060_Pool6_Index8_S16
	W22xB73	leaf	Control		Springer_060_Pool6_Index9_S17
	W22xB73	leaf	Salt		Springer_060_Pool6_Index10_S18
	W22xB73	leaf	Drought		Springer_060_Pool6_Index11_S19
	W22xB73	leaf	Cold		Springer_060_Pool6_Index13_S20
	B97	leaf	Control		Springer_060_Pool6_Index20_S21
	B97	leaf	Salt		Springer_060_Pool6_Index21_S22
	B97	leaf	Drought		Springer_060_Pool6_Index22_S23
	B97	leaf	Cold		Springer_060_Pool6_Index23_S24
	W22	root	Control		Springer_060_Pool6_Index25_S25
	W22	root	Salt		Springer_060_Pool6_Index27_S26
