SampleID	Tissue	Genotype	Treatment	Replicate	directory	file_prefix
BC1	leaf	B73	cold		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068	BC1_S303
BC2		B73	cold			BC2_S304
BC3		B73	cold			BC3_S305
BC4		B73	cold			BC4_S306
BC5		B73	cold			BC5_S307
BH1		B73	heat			BH1_S308
BH2		B73	heat			BH2_S309
BH3		B73	heat			BH3_S310
BH4		B73	heat			BH4_S311
BH5		B73	heat			BH5_S312
BN1		B73	control			BN1_S313
BN2		B73	control			BN2_S314
BN3		B73	control			BN3_S315
BN5		B73	control			BN5_S316
MC1		Mo17	cold			MC1_S317
MC2		Mo17	cold			MC2_S318
MC3		Mo17	cold			MC3_S319
MC4		Mo17	cold			MC4_S320
MC5		Mo17	cold			MC5_S321
MH1		Mo17	heat			MH1_S322
MH2		Mo17	heat			MH2_S323
MH3		Mo17	heat			MH3_S324
MH4		Mo17	heat			MH4_S325
MH5		Mo17	heat			MH5_S343
MN1		Mo17	control			MN1_S326
MN2		Mo17	control			MN2_S327
MN3		Mo17	control			MN3_S328
MN4		Mo17	control			MN4_S329
MN5		Mo17	control			MN5_S330
OC1		Oh43	cold			OC1_S331
OC2		Oh43	cold			OC2_S332
OC3		Oh43	cold			OC3_S344
OC4		Oh43	cold			OC4_S333
OC5		Oh43	cold			OC5_S334
OH1		Oh43	heat			OH1_S335
OH2		Oh43	heat			OH2_S336
OH3		Oh43	heat			OH3_S337
OH4		Oh43	heat			OH4_S338
OH5		Oh43	heat			OH5_S339
ON1		Oh43	control			ON1_S340
ON2		Oh43	control			ON2_S341
ON3		Oh43	control			ON3_S342
ON4		Oh43	control			ON4_S227
ON5		Oh43	control			ON5_S228
WC1		W22	cold			WC1_S229
WC2		W22	cold			WC2_S230
WC3		W22	cold			WC3_S231
WC4		W22	cold			WC4_S232
WC5		W22	cold			WC5_S233
WH1		W22	heat			WH1_S234
WH2		W22	heat			WH2_S235
WH3		W22	heat			WH3_S236
WH4		W22	heat			WH4_S237
WH5		W22	heat			WH5_S238
WN1		W22	control			WN1_S239
WN2		W22	control			WN2_S240
WN3		W22	control			WN3_S241
WN4		W22	control			WN4_S242
WN5		W22	control			WN5_S243
