SampleID	Tissue	Genotype	Treatment	directory	file_prefix
	leaf	B73	Cold	/home/springer/data_release/umgc/novaseq/200331_A00223_0350_BHHTKTDRXX/Springer_Project_071/	BC1_S1
		B73	Cold		BC2_S2
		B73	Cold		BC3_S3
		B73	Cold		BC4_S4
		B73	Cold		BC5_S5
		B73	Heat		BH1_S6
		B73	Heat		BH2_S7
		B73	Heat		BH3_S8
		B73	Heat		BH4_S9
		B73	Heat		BH5_S10
		B73	Control		BN1_S11
		B73	Control		BN2_S12
		B73	Control		BN3_S13
		B73	Control		BN5_S14
		Mo17	Cold		MC1_S15
		Mo17	Cold		MC2_S16
		Mo17	Cold		MC3_S17
		Mo17	Cold		MC4_S53
		Mo17	Cold		MC5_S18
		Mo17	Heat		MH1_S19
		Mo17	Heat		MH2_S20
		Mo17	Heat		MH3_S21
		Mo17	Heat		MH4_S22
		Mo17	Heat		MH5_S54
		Mo17	Control		MN1_S23
		Mo17	Control		MN2_S55
		Mo17	Control		MN3_S56
		Mo17	Control		MN4_S57
		Mo17	Control		MN5_S24
		Oh43	Cold		OC1_S25
		Oh43	Cold		OC2_S26
		Oh43	Cold		OC3_S27
		Oh43	Cold		OC4_S28
		Oh43	Cold		OC5_S29
		Oh43	Heat		OH1_S30
		Oh43	Heat		OH2_S31
		Oh43	Heat		OH3_S58
		Oh43	Heat		OH4_S32
		Oh43	Heat		OH5_S33
		Oh43	Control		ON1_S34
		Oh43	Control		ON2_S35
		Oh43	Control		ON3_S36
		Oh43	Control		ON4_S59
		Oh43	Control		ON5_S37
		W22	Cold		WC1_S38
		W22	Cold		WC2_S39
		W22	Cold		WC3_S40
		W22	Cold		WC4_S41
		W22	Cold		WC5_S42
		W22	Heat		WH1_S43
		W22	Heat		WH2_S44
		W22	Heat		WH3_S45
		W22	Heat		WH4_S46
		W22	Heat		WH5_S47
		W22	Control		WN1_S48
		W22	Control		WN2_S49
		W22	Control		WN3_S50
		W22	Control		WN4_S51
		W22	Control		WN5_S52
