SampleID	Tissue	Genotype	Treatment	Replicate	directory	file_prefix
tBR502	seedling_root	B73	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR502_S1
tBR503	seedling_root	B73	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR503_S2
tBR504	seedling_root	B73	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR504_S3
tBR506	seedling_root	B84	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR506_S4
tBR512	seedling_root	Mo17	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR512_S5
tBR514	seedling_root	A682	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR514_S6
tBR515	seedling_root	A682	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR515_S7
tBR516	seedling_root	A682	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR516_S8
tBR523	seedling_root	Mo17xB73	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR523_S9
tBR524	seedling_root	Mo17xB73	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR524_S10
tBR526	seedling_root	B84xB73	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR526_S11
tBR527	seedling_root	B84xB73	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR527_S12
tBR534	seedling_root	A682xB73	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR534_S13
tBR535	seedling_root	A682xB73	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR535_S14
tBR536	seedling_root	A682xB73	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR536_S15
tBR538	seedling_root	A682xMo17	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR538_S16
tBR544	coleoptile	B73	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR544_S17
tBR546	coleoptile	B84	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1	tBR546_S18
tBR507	seedling_root	B84	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR507_S19
tBR508	seedling_root	B84	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR508_S20
tBR510	seedling_root	Mo17	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR510_S21
tBR511	seedling_root	Mo17	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR511_S22
tBR518	seedling_root	B73xMo17	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR518_S23
tBR519	seedling_root	B73xMo17	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR519_S24
tBR520	seedling_root	B73xMo17	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR520_S25
tBR522	seedling_root	Mo17xB73	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR522_S26
tBR528	seedling_root	B84xB73	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR528_S27
tBR530	seedling_root	B84xMo17	t	2	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR530_S28
tBR531	seedling_root	B84xMo17	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR531_S29
tBR532	seedling_root	B84xMo17	t	4	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR532_S30
tBR539	seedling_root	A682xMo17	t	3	/home/springer/data_release/umgc/novaseq/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2	tBR539_S31
