SampleID	Tissue	Genotype	Treatment	directory	file_prefix
				/home/springer/data_release/umgc/hiseq/150505_D00635_0052_BC6FM7ANXX/Project_Springer_Project_030	Blanco_AGTCAA_L001
					Blanco_AGTCAA_L002
					Blanco_AGTCAA_L003
					Blanco_AGTCAA_L004
					Blanco_AGTCAA_L005
					BL_W22_BC1_CGATGT_L001
					BL_W22_BC1_CGATGT_L002
					BL_W22_BC1_CGATGT_L003
					BL_W22_BC1_CGATGT_L004
					BL_W22_BC1_CGATGT_L005
					BL_W22_BC6_GTGAAA_L001
					BL_W22_BC6_GTGAAA_L002
					BL_W22_BC6_GTGAAA_L003
					BL_W22_BC6_GTGAAA_L004
					BL_W22_BC6_GTGAAA_L005
					Bravo_CTTGTA_L001
					Bravo_CTTGTA_L002
					Bravo_CTTGTA_L003
					Bravo_CTTGTA_L004
					Bravo_CTTGTA_L005
					BR_W22_BC1_ATGTCA_L001
					BR_W22_BC1_ATGTCA_L002
					BR_W22_BC1_ATGTCA_L003
					BR_W22_BC1_ATGTCA_L004
					BR_W22_BC1_ATGTCA_L005
					BR_W22_BC6_GTCCGC_L001
					BR_W22_BC6_GTCCGC_L002
					BR_W22_BC6_GTCCGC_L003
					BR_W22_BC6_GTCCGC_L004
					BR_W22_BC6_GTCCGC_L005
					W22_JD_AGTTCC_L001
					W22_JD_AGTTCC_L002
					W22_JD_AGTTCC_L003
					W22_JD_AGTTCC_L004
					W22_JD_AGTTCC_L005
