SampleID	Tissue	Genotype	Treatment	Replicate	directory	file_prefix
batch1-H1	batch1		TC1	1	/scratch.global/zhoux379/stress/data/batch1/demul	H1
batch1-G1	batch1		TC2	1	/scratch.global/zhoux379/stress/data/batch1/demul	G1
batch1-F1	batch1		TC3	1	/scratch.global/zhoux379/stress/data/batch1/demul	F1
batch1-E1	batch1		TC4	1	/scratch.global/zhoux379/stress/data/batch1/demul	E1
batch1-D1	batch1		TC5	1	/scratch.global/zhoux379/stress/data/batch1/demul	D1
batch1-C1	batch1		TC6	1	/scratch.global/zhoux379/stress/data/batch1/demul	C1
batch1-B1	batch1		TC7	1	/scratch.global/zhoux379/stress/data/batch1/demul	B1
batch1-A1	batch1		TC8	1	/scratch.global/zhoux379/stress/data/batch1/demul	A1
batch1-H2	batch1		TC9	1	/scratch.global/zhoux379/stress/data/batch1/demul	H2
batch1-G2	batch1		TC10	1	/scratch.global/zhoux379/stress/data/batch1/demul	G2
batch1-F2	batch1		TC11	1	/scratch.global/zhoux379/stress/data/batch1/demul	F2
batch1-E2	batch1		TC12	1	/scratch.global/zhoux379/stress/data/batch1/demul	E2
batch1-D2	batch1		TC13	1	/scratch.global/zhoux379/stress/data/batch1/demul	D2
batch1-C2	batch1		TC14	1	/scratch.global/zhoux379/stress/data/batch1/demul	C2
batch1-B2	batch1		TC15	1	/scratch.global/zhoux379/stress/data/batch1/demul	B2
batch1-A2	batch1		TC16	1	/scratch.global/zhoux379/stress/data/batch1/demul	A2
batch1-H3	batch1		TC17	1	/scratch.global/zhoux379/stress/data/batch1/demul	H3
batch1-G3	batch1		TC18	1	/scratch.global/zhoux379/stress/data/batch1/demul	G3
batch1-F3	batch1		TC19	1	/scratch.global/zhoux379/stress/data/batch1/demul	F3
batch1-E3	batch1		TC20	1	/scratch.global/zhoux379/stress/data/batch1/demul	E3
batch1-D3	batch1		TC21	1	/scratch.global/zhoux379/stress/data/batch1/demul	D3
batch1-C3	batch1		TC22	1	/scratch.global/zhoux379/stress/data/batch1/demul	C3
batch1-B3	batch1		TC23	1	/scratch.global/zhoux379/stress/data/batch1/demul	B3
