SampleID	Tissue	Genotype	Treatment	directory	file_prefix
BR001	blade_leaf	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index2_S2
BR002	blade_leaf	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index1_S1
BR003	blade_leaf	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index4_S4
BR004	blade_leaf	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index3_S3
BR005	blade_leaf	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index5_S5
BR006	blade_leaf	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index8_S8
BR007	blade_leaf	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index6_S6
BR008	blade_leaf	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index9_S9
BR009	blade_leaf	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index7_S7
BR010	auricle	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index10_S10
BR011	auricle	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index12_S12
BR012	auricle	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index11_S11
BR013	auricle	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index13_S13
BR014	auricle	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index20_S16
BR015	auricle	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index14_S14
BR016	auricle	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index21_S17
BR017	auricle	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index15_S15
BR018	auricle	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool1_18_Index22_S18
BR019	sheath	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index2_S20
BR020	sheath	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index1_S19
BR021	sheath	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index4_S22
BR022	sheath	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index3_S21
BR023	sheath	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index5_S23
BR024	sheath	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index8_S26
BR025	sheath	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index6_S24
BR026	sheath	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index9_S27
BR027	sheath	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index7_S25
BR028	internode	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index10_S28
BR032	internode	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index12_S30
BR030	internode	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index11_S29
BR031	internode	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index13_S31
BR029	internode	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index20_S34
BR033	internode	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index14_S32
BR034	internode	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index21_S35
BR035	internode	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index15_S33
BR036	internode	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool2_18_index22_S36
BR037	tassel	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index2_S38
BR038	tassel	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index1_S37
BR039	tassel	B73	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index4_S40
BR040	tassel	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index3_S39
BR041	tassel	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index5_S41
BR042	tassel	Mo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index8_S44
BR043	tassel	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index6_S42
BR044	tassel	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index9_S45
BR045	tassel	B73xMo17	v12	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index7_S43
BR046	ear	B73	v14	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index10_S46
BR047	ear	B73	v14	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index12_S48
BR048	ear	B73	v14	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index11_S47
