SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
BW1	endosperm	B73xW22		1	TRUE	22585013	252
BW2	endosperm	B73xW22		2	TRUE	22062341	252
BW3	endosperm	B73xW22		3	TRUE	21805044	252
PB1	endosperm	PH207xB73		1	TRUE	21711271	252
PB2	endosperm	PH207xB73		2	TRUE	19051394	252
PB3	endosperm	PH207xB73		3	TRUE	16965887	252
BP1	endosperm	B73xPH207		1	TRUE	19343543	252
BP2	endosperm	B73xPH207		2	TRUE	22062237	252
BP3	endosperm	B73xPH207		3	TRUE	19706638	252
PW1	endosperm	PH207xW22		1	TRUE	21875008	252
PW2	endosperm	PH207xW22		2	TRUE	15848072	252
PW3	endosperm	PH207xW22		3	TRUE	16492488	252
WB1	endosperm	W22xB73		1	TRUE	20594673	252
WB2	endosperm	W22xB73		2	TRUE	15174708	252
WB3	endosperm	W22xB73		3	TRUE	20811937	252
WP1	endosperm	W22xPH207		1	TRUE	21201487	252
WP2	endosperm	W22xPH207		2	TRUE	21571857	252
WP3	endosperm	W22xPH207		3	TRUE	19488689	252
