SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	inbred	spots	avgLength
SRR5691388	seedling	PHN11		1	m001	FALSE	TRUE	6952614	51
SRR5691477	seedling	PHN11		2	m001	TRUE	TRUE	35886940	302
SRR7477329	seedling	W10007_0016		1	m002	TRUE	TRUE	31547025	302
SRR7477330	seedling	PHEM9		1	m003	TRUE	TRUE	28564496	302
SRR7477331	seedling	W10002_0001		1	m004	TRUE	TRUE	26099173	302
SRR7477332	seedling	LH284		1	m005	TRUE	TRUE	24014667	302
SRR7477333	seedling	Oh3167B		1	m006	TRUE	TRUE	26053269	302
SRR7477334	seedling	W10001_0040		1	m007	TRUE	TRUE	30326193	302
SRR7477335	seedling	LH250		1	m008	TRUE	TRUE	27249799	302
SRR7477336	seedling	NP899		1	m009	TRUE	TRUE	24632806	302
SRR7477337	seedling	PHR61		1	m010	TRUE	TRUE	27091751	302
SRR7477338	seedling	NP901		1	m011	TRUE	TRUE	27261616	302
SRR7477339	seedling	PHTD5		1	m012	TRUE	TRUE	26534016	302
SRR7477340	seedling	LH189Ht		1	m013	TRUE	TRUE	21434111	302
SRR7477341	seedling	W10001_0047		1	m014	TRUE	TRUE	27182864	302
SRR7477342	seedling	PHKM5		1	m015	TRUE	TRUE	26194864	302
SRR7477343	seedling	LH186		1	m016	TRUE	TRUE	23938627	302
SRR7477344	seedling	LH219		1	m017	TRUE	TRUE	22546647	302
SRR7477345	seedling	W616S		1	m018	TRUE	TRUE	27365437	302
SRR7477346	seedling	BCC03		1	m019	TRUE	TRUE	26188728	302
SRR7477347	seedling	WD456		1	m020	TRUE	TRUE	26520323	302
SRR7477348	seedling	PHK46		1	m021	TRUE	TRUE	27046550	302
SRR7477349	seedling	LH175		1	m022	TRUE	TRUE	24591104	302
SRR7477350	seedling	W10001-0022		1	m023	TRUE	TRUE	26884454	302
SRR7477351	seedling	PHTE4		1	m024	TRUE	TRUE	28245967	302
SRR7477352	seedling	Mo18W		1	m025	TRUE	TRUE	29368622	302
SRR7477353	seedling	W10001_0003		1	m026	TRUE	TRUE	29524945	302
SRR7477354	seedling	W10001_0018		1	m027	TRUE	TRUE	27666476	302
SRR7477355	seedling	Fe		1	m028	TRUE	TRUE	26277254	302
SRR7477356	seedling	W10002_0004		1	m029	TRUE	TRUE	27020025	302
SRR7477357	seedling	LH169Ht		1	m030	TRUE	TRUE	24528193	302
SRR7477358	seedling	W10001_0007		1	m031	TRUE	TRUE	27326235	302
SRR7477359	seedling	W615S		1	m032	TRUE	TRUE	25116853	302
SRR7477360	seedling	ND287		1	m033	TRUE	TRUE	22179431	302
SRR7477361	seedling	LH200		1	m034	TRUE	TRUE	27003132	302
SRR7477362	seedling	PHAA0		1	m035	TRUE	TRUE	23758220	302
SRR7477363	seedling	Mo13		1	m036	TRUE	TRUE	23965112	302
SRR7477364	seedling	PHP38		1	m037	TRUE	TRUE	25030013	302
SRR7477365	seedling	AM0776		1	m038	TRUE	TRUE	21193975	302
SRR7477366	seedling	PHEW7		1	m039	TRUE	TRUE	24416255	302
SRR7477367	seedling	PHN11-PHG47-071		1	m040	TRUE	TRUE	26434195	302
SRR7477368	seedling	PH5HK		1	m041	TRUE	TRUE	24484064	302
SRR7477369	seedling	W10001_0030		1	m042	TRUE	TRUE	27298434	302
SRR7477370	seedling	LH167		1	m043	TRUE	TRUE	22954749	302
SRR7477371	seedling	W10001_0012		1	m044	TRUE	TRUE	23883041	302
SRR7477372	seedling	W10001_0031		1	m045	TRUE	TRUE	28316462	302
SRR7477373	seedling	LH217		1	m046	TRUE	TRUE	20935991	302
SRR7477374	seedling	Tr9-1-1-6		1	m047	TRUE	TRUE	24342047	302
SRR7477375	seedling	B73-1		1	m048	TRUE	TRUE	23980433	302
SRR7477376	seedling	OQ601		1	m049	TRUE	TRUE	23881683	302
SRR7477377	seedling	ZS1791		1	m050	TRUE	TRUE	31055280	302
SRR7477378	seedling	PHFA5		1	m051	TRUE	TRUE	25990231	302
SRR7477379	seedling	W10001_0010		1	m052	TRUE	TRUE	25683497	302
SRR7477380	seedling	LH299		1	m053	TRUE	TRUE	26548502	302
SRR7477381	seedling	LH218		1	m054	TRUE	TRUE	26513150	302
SRR7477382	seedling	LH231		1	m055	TRUE	TRUE	26408849	302
SRR7477383	seedling	LH188		1	m056	TRUE	TRUE	27654873	302
SRR7477384	seedling	W10001_0009		1	m057	TRUE	TRUE	26322788	302
SRR7477385	seedling	I224		1	m058	TRUE	TRUE	25268102	302
SRR7477386	seedling	PHMK0		1	m059	TRUE	TRUE	28067840	302
SRR7477387	seedling	PHT11		1	m060	TRUE	TRUE	25726768	302
SRR7477388	seedling	PHHB9-1		1	m061	TRUE	TRUE	26293917	302
SRR7477389	seedling	AH83		1	m062	TRUE	TRUE	24650045	302
SRR7477390	seedling	LE23		1	m063	TRUE	TRUE	28423901	302
SRR7477391	seedling	PHWRZ		1	m064	TRUE	TRUE	25908366	302
SRR7477392	seedling	I11.12E		1	m065	TRUE	TRUE	28416513	302
SRR7477393	seedling	B2		1	m066	TRUE	TRUE	25108834	302
SRR7477394	seedling	LH252		1	m067	TRUE	TRUE	22750998	302
SRR7477395	seedling	PHN18		1	m068	TRUE	TRUE	28119873	302
SRR7477396	seedling	W10001-0016		1	m069	TRUE	TRUE	23494882	302
SRR7477397	seedling	LH260		1	m070	TRUE	TRUE	28733112	302
SRR7477398	seedling	A3G-3-3-1-313		1	m071	TRUE	TRUE	25776329	302
SRR7477399	seedling	PHW06		1	m072	TRUE	TRUE	26391409	302
SRR7477400	seedling	PHDD6		1	m073	TRUE	TRUE	21417234	302
SRR7477401	seedling	PHW65-MoG-242		1	m074	TRUE	TRUE	26117488	302
SRR7477402	seedling	LH168		1	m075	TRUE	TRUE	23674028	302
SRR7477403	seedling	FBLL		1	m076	TRUE	TRUE	27183877	302
SRR7477404	seedling	PHW65-MoG-115		1	m077	TRUE	TRUE	27326652	302
SRR7477405	seedling	LH225		1	m078	TRUE	TRUE	20395417	302
SRR7477406	seedling	PHHB4-1		1	m079	TRUE	TRUE	24964741	302
SRR7975329	seedling	NK807		1	m080	TRUE	TRUE	15874615	302
SRR7975330	seedling	NQ402		1	m081	TRUE	TRUE	31158309	302
