SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
s01	leaf	unk		1	TRUE	46957425	252
s02	leaf	unk		2	TRUE	66852983	252
s03	leaf	unk		3	TRUE	66845584	252
s04	leaf	unk		4	TRUE	66200693	252
s05	leaf	unk		5	TRUE	60323635	252
s06	leaf	unk		6	TRUE	65317383	252
s07	leaf	unk		7	TRUE	60566075	252
s08	leaf	unk		8	TRUE	59755919	252
s09	leaf	unk		9	TRUE	59610310	252
s10	leaf	unk		10	TRUE	60993596	252
s11	leaf	unk		11	TRUE	61158024	252
s12	leaf	unk		12	TRUE	53760162	252
s13	leaf	unk		13	TRUE	24344573	252
s14	leaf	unk		14	TRUE	34730635	252
s15	leaf	unk		15	TRUE	34471891	252
s16	leaf	unk		16	TRUE	34476733	252
s17	leaf	unk		17	TRUE	31354719	252
s18	leaf	unk		18	TRUE	33814668	252
s19	leaf	unk		19	TRUE	31498527	252
s20	leaf	unk		20	TRUE	31012812	252
s21	leaf	unk		21	TRUE	30918847	252
s22	leaf	unk		22	TRUE	31472492	252
s23	leaf	unk		23	TRUE	31767382	252
s24	leaf	unk		24	TRUE	27691591	252
s25	leaf	BR3		1	TRUE	101886061	252
s26	leaf	BR3		2	TRUE	92894994	252
s27	leaf	BAM349		1	TRUE	115395820	252
s28	leaf	BAM349		2	TRUE	89279378	252
s29	leaf	DI676		1	TRUE	92016729	252
s30	leaf	DI676		2	TRUE	107270133	252
s31	leaf	W22		1	TRUE	100203936	252
s32	leaf	W22		2	TRUE	114730531	252
s33	leaf	Arc60		1	TRUE	105913672	252
s34	root	Arc60		1	TRUE	134183896	252
s35	callus	Arc60		1	TRUE	99461842	252
s36	callus	Arc60		2	TRUE	134058720	252
s37	leaf	unk		25	TRUE	56197110	252
s38	leaf	unk		26	TRUE	51151308	252
s39	leaf	unk		27	TRUE	63901605	252
s40	leaf	unk		28	TRUE	49011246	252
s41	leaf	unk		29	TRUE	50513624	252
s42	leaf	unk		30	TRUE	59178644	252
s43	leaf	unk		31	TRUE	55048948	252
s44	leaf	unk		32	TRUE	63188977	252
s45	leaf	unk		33	TRUE	58244674	252
s46	leaf	unk		34	TRUE	73779438	252
s47	leaf	unk		35	TRUE	54626097	252
s48	leaf	unk		36	TRUE	74240827	252
s49	leaf	unk		37	TRUE	13857346	252
s50	leaf	unk		38	TRUE	49995579	252
s51	leaf	unk		39	TRUE	55539099	252
s52	leaf	unk		40	TRUE	12672878	252
s53	leaf	unk		41	TRUE	45545926	252
s54	leaf	unk		42	TRUE	15970069	252
s55	leaf	unk		43	TRUE	34296595	252
