SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
A01	leaf_2	B73	day9_11am_control	1	FALSE	2569273	86
A02	leaf_2	B73	day10_4pm_control	1	FALSE	4895743	86
A03	leaf_2	B73	day9_4pm_cold	1	FALSE	6042528	86
A04	leaf_2	B73	day11_11am_cold	1	FALSE	6354746	86
A05	leaf_2	B73	day12_4pm_control	1	FALSE	6291714	86
A06	leaf_2	B73	day15_4pm_control	1	FALSE	8041159	86
A07	leaf_3	B73	day15_4pm_control	1	FALSE	4693395	86
A08	leaf_2	B73	day9_11am_control	2	FALSE	3858046	86
A09	leaf_2	B73	day11_4pm_cold	1	FALSE	7884099	86
A10	leaf_2	B73	day11_11am_control	1	FALSE	8531420	86
A11	leaf_2	B73	day11_4pm_control	1	FALSE	4217072	86
A12	leaf_2	B73	day9_4pm_cold	2	FALSE	2554061	86
B01	leaf_2	B73	day9_11am_control	3	FALSE	6924938	86
B02	leaf_2	B73	day10_4pm_control	2	FALSE	3960518	86
B03	leaf_2	B73	day9_4pm_cold	3	FALSE	41612	86
B04	leaf_2	B73	day11_11am_cold	2	FALSE	4078882	86
B05	leaf_2	B73	day11_4pm_control	2	FALSE	4616867	86
B06	leaf_2	B73	day15_4pm_control	2	FALSE	3464293	86
B07	leaf_3	B73	day15_4pm_control	2	FALSE	5186969	86
B08	leaf_2	Mo17	day9_11am_control	1	FALSE	4024686	86
B09	leaf_2	B73	day11_4pm_cold	2	FALSE	4049331	86
B10	leaf_2	Mo17	day11_11am_control	1	FALSE	4406214	86
B11	leaf_2	Mo17	day11_4pm_control	1	FALSE	4273502	86
B12	leaf_2	Mo17	day9_4pm_cold	1	FALSE	7194192	86
C01	leaf_2	Mo17	day9_11am_control	2	FALSE	5706730	86
C02	leaf_2	Mo17	day10_4pm_control	1	FALSE	1930380	86
C03	leaf_2	Mo17	day9_4pm_cold	2	FALSE	1456110	86
C04	leaf_2	Mo17	day11_11am_cold	1	FALSE	1471538	86
C05	leaf_2	Mo17	day12_4pm_control	1	FALSE	2394103	86
